# q(y) = R_delta(y - log 3/2) + R_delta(y + log 3/2), scaled to peak 1 (floating point)
delta,y,q_scaled
0.01232,0.0,0.0
0.01232,0.01250416806,0.0
0.01232,0.02500833611,0.0
0.01232,0.03751250417,0.0
0.01232,0.05001667222,0.0
0.01232,0.06252084028,0.0
0.01232,0.07502500834,0.0
0.01232,0.08752917639,0.0
0.01232,0.1000333444,0.0
0.01232,0.1125375125,0.0
0.01232,0.1250416806,0.0
0.01232,0.1375458486,0.0
0.01232,0.1500500167,0.0
0.01232,0.1625541847,0.0
0.01232,0.1750583528,0.0
0.01232,0.1875625208,0.0
0.01232,0.2000666889,0.0
0.01232,0.212570857,0.0
0.01232,0.225075025,0.0
0.01232,0.2375791931,0.0
0.01232,0.2500833611,0.0
0.01232,0.2625875292,0.0
0.01232,0.2750916972,0.0
0.01232,0.2875958653,0.0
0.01232,0.3001000333,0.0
0.01232,0.3126042014,0.0
0.01232,0.3251083695,0.0
0.01232,0.3376125375,0.0
0.01232,0.3501167056,0.0
0.01232,0.3626208736,0.0
0.01232,0.3751250417,0.0
0.01232,0.3876292097,0.0247440522
0.01232,0.4001333778,0.7724223936
0.01232,0.4126375458,0.6346872902
0.01232,0.4251417139,0.004272324996
0.01232,0.437645882,0.0
0.01232,0.45015005,0.0
0.01232,0.4626542181,0.0
0.01232,0.4751583861,0.0
0.01232,0.4876625542,0.0
0.01232,0.5001667222,0.0
0.01232,0.5126708903,0.0
0.01232,0.5251750584,0.0
0.01232,0.5376792264,0.0
0.01232,0.5501833945,0.0
0.01232,0.5626875625,0.0
0.01232,0.5751917306,0.0
0.01232,0.5876958986,0.0
0.01232,0.6002000667,0.0
0.01232,0.6127042347,0.0
0.01232,0.6252084028,0.0
0.01232,0.6377125709,0.0
0.01232,0.6502167389,0.0
0.01232,0.662720907,0.0
0.01232,0.675225075,0.0
0.01232,0.6877292431,0.0
0.01232,0.7002334111,0.0
0.01232,0.7127375792,0.0
0.01232,0.7252417472,0.0
0.01232,0.7377459153,0.0
0.01232,0.7502500834,0.0
0.01232,0.7627542514,0.0
0.01232,0.7752584195,0.0
0.01232,0.7877625875,0.0
0.01232,0.8002667556,0.0
0.01232,0.8127709236,0.0
0.01232,0.8252750917,0.0
0.01232,0.8377792598,0.0
0.01232,0.8502834278,0.0
0.01232,0.8627875959,0.0
0.01232,0.8752917639,0.0
0.01232,0.887795932,0.0
0.01232,0.9003001,0.0
0.01232,0.9128042681,0.0
0.01232,0.9253084361,0.0
0.01232,0.9378126042,0.0
0.01232,0.9503167723,0.0
0.01232,0.9628209403,0.0
0.01232,0.9753251084,0.0
0.01232,0.9878292764,0.0
0.01232,1.000333444,0.0
0.01232,1.012837613,0.0
0.01232,1.025341781,0.0
0.01232,1.037845949,0.0
0.01232,1.050350117,0.0
0.01232,1.062854285,0.0
0.01232,1.075358453,0.0
0.01232,1.087862621,0.0
0.01232,1.100366789,0.0
0.01232,1.112870957,0.0
0.01232,1.125375125,0.0
0.01232,1.137879293,0.0
0.01232,1.150383461,0.0
0.01232,1.162887629,0.0
0.01232,1.175391797,0.0
0.01232,1.187895965,0.0
0.01232,1.200400133,0.0
0.01232,1.212904301,0.0
0.01232,1.225408469,0.0
0.01232,1.237912638,0.0
0.16,0.0,0.0
0.16,0.01250416806,0.0
0.16,0.02500833611,0.0
0.16,0.03751250417,0.0
0.16,0.05001667222,0.0
0.16,0.06252084028,0.0
0.16,0.07502500834,0.0
0.16,0.08752917639,4.001045268e-70
0.16,0.1000333444,2.169161046e-11
0.16,0.1125375125,1.350957912e-06
0.16,0.1250416806,9.665722091e-05
0.16,0.1375458486,0.0009839735946
0.16,0.1500500167,0.004324533197
0.16,0.1625541847,0.01220773298
0.16,0.1750583528,0.02646489497
0.16,0.1875625208,0.04834041188
0.16,0.2000666889,0.07845446978
0.16,0.212570857,0.1168941139
0.16,0.225075025,0.163333009
0.16,0.2375791931,0.2171384157
0.16,0.2500833611,0.2774528846
0.16,0.2625875292,0.3432507263
0.16,0.2750916972,0.4133729132
0.16,0.2875958653,0.4865441536
0.16,0.3001000333,0.561375404
0.16,0.3126042014,0.6363535761
0.16,0.3251083695,0.7098194608
0.16,0.3376125375,0.7799341642
0.16,0.3501167056,0.8446349941
0.16,0.3626208736,0.9015852132
0.16,0.3751250417,0.9481350405
0.16,0.3876292097,0.9813519424
0.16,0.4001333778,0.9982958282
0.16,0.4126375458,0.996921616
0.16,0.4251417139,0.977416658
0.16,0.437645882,0.9420467278
0.16,0.45015005,0.893787355
0.16,0.4626542181,0.8355375946
0.16,0.4751583861,0.7699002598
0.16,0.4876625542,0.6991686858
0.16,0.5001667222,0.625369513
0.16,0.5126708903,0.5503126485
0.16,0.5251750584,0.4756339569
0.16,0.5376792264,0.4028271591
0.16,0.5501833945,0.3332641969
0.16,0.5626875625,0.2682037331
0.16,0.5751917306,0.2087866227
0.16,0.5876958986,0.1560164515
0.16,0.6002000667,0.1107217112
0.16,0.6127042347,0.07349579458
0.16,0.6252084028,0.04461144109
0.16,0.6377125709,0.02391061466
0.16,0.6502167389,0.01068533214
0.16,0.662720907,0.003597487761
0.16,0.675225075,0.0007478957853
0.16,0.6877292431,6.096032391e-05
0.16,0.7002334111,5.158101234e-07
0.16,0.7127375792,7.431130762e-13
0.16,0.7252417472,0.0
0.16,0.7377459153,0.0
0.16,0.7502500834,0.0
0.16,0.7627542514,0.0
0.16,0.7752584195,0.0
0.16,0.7877625875,0.0
0.16,0.8002667556,0.0
0.16,0.8127709236,0.0
0.16,0.8252750917,0.0
0.16,0.8377792598,0.0
0.16,0.8502834278,0.0
0.16,0.8627875959,0.0
0.16,0.8752917639,0.0
0.16,0.887795932,0.0
0.16,0.9003001,0.0
0.16,0.9128042681,0.0
0.16,0.9253084361,0.0
0.16,0.9378126042,0.0
0.16,0.9503167723,0.0
0.16,0.9628209403,0.0
0.16,0.9753251084,0.0
0.16,0.9878292764,0.0
0.16,1.000333444,0.0
0.16,1.012837613,0.0
0.16,1.025341781,0.0
0.16,1.037845949,0.0
0.16,1.050350117,0.0
0.16,1.062854285,0.0
0.16,1.075358453,0.0
0.16,1.087862621,0.0
0.16,1.100366789,0.0
0.16,1.112870957,0.0
0.16,1.125375125,0.0
0.16,1.137879293,0.0
0.16,1.150383461,0.0
0.16,1.162887629,0.0
0.16,1.175391797,0.0
0.16,1.187895965,0.0
0.16,1.200400133,0.0
0.16,1.212904301,0.0
0.16,1.225408469,0.0
0.16,1.237912638,0.0
