# lattice points log(prod p^a_p), exact
S,A,exponents,n,degree,log_n
"{2,3}",3,"(0,0)",1,0,0.0
"{2,3}",3,"(0,1)",3,1,1.098612289
"{2,3}",3,"(0,2)",9,2,2.197224577
"{2,3}",3,"(0,3)",27,3,3.295836866
"{2,3}",3,"(1,0)",2,1,0.6931471806
"{2,3}",3,"(1,1)",6,2,1.791759469
"{2,3}",3,"(1,2)",18,3,2.890371758
"{2,3}",3,"(1,3)",54,4,3.988984047
"{2,3}",3,"(2,0)",4,2,1.386294361
"{2,3}",3,"(2,1)",12,3,2.48490665
"{2,3}",3,"(2,2)",36,4,3.583518938
"{2,3}",3,"(2,3)",108,5,4.682131227
"{2,3}",3,"(3,0)",8,3,2.079441542
"{2,3}",3,"(3,1)",24,4,3.17805383
"{2,3}",3,"(3,2)",72,5,4.276666119
"{2,3}",3,"(3,3)",216,6,5.375278408
"{2,3,5}",2,"(0,0,0)",1,0,0.0
"{2,3,5}",2,"(0,0,1)",5,1,1.609437912
"{2,3,5}",2,"(0,0,2)",25,2,3.218875825
"{2,3,5}",2,"(0,1,0)",3,1,1.098612289
"{2,3,5}",2,"(0,1,1)",15,2,2.708050201
"{2,3,5}",2,"(0,1,2)",75,3,4.317488114
"{2,3,5}",2,"(0,2,0)",9,2,2.197224577
"{2,3,5}",2,"(0,2,1)",45,3,3.80666249
"{2,3,5}",2,"(0,2,2)",225,4,5.416100402
"{2,3,5}",2,"(1,0,0)",2,1,0.6931471806
"{2,3,5}",2,"(1,0,1)",10,2,2.302585093
"{2,3,5}",2,"(1,0,2)",50,3,3.912023005
"{2,3,5}",2,"(1,1,0)",6,2,1.791759469
"{2,3,5}",2,"(1,1,1)",30,3,3.401197382
"{2,3,5}",2,"(1,1,2)",150,4,5.010635294
"{2,3,5}",2,"(1,2,0)",18,3,2.890371758
"{2,3,5}",2,"(1,2,1)",90,4,4.49980967
"{2,3,5}",2,"(1,2,2)",450,5,6.109247583
"{2,3,5}",2,"(2,0,0)",4,2,1.386294361
"{2,3,5}",2,"(2,0,1)",20,3,2.995732274
"{2,3,5}",2,"(2,0,2)",100,4,4.605170186
"{2,3,5}",2,"(2,1,0)",12,3,2.48490665
"{2,3,5}",2,"(2,1,1)",60,4,4.094344562
"{2,3,5}",2,"(2,1,2)",300,5,5.703782475
"{2,3,5}",2,"(2,2,0)",36,4,3.583518938
"{2,3,5}",2,"(2,2,1)",180,5,5.192956851
"{2,3,5}",2,"(2,2,2)",900,6,6.802394763
