# Weil distribution D(y) on y > 0 (floating point): pole 2 cosh(y/2), archimedean -rho(y);
# prime comb: -Lambda(k) k^(-1/2) at y = log k (listed below as rows with y = log k)
y,pole_density,arch_density,smooth_sum
0.02,2.000100001,-25.24957084,-23.24947084
0.06082041021,2.000924852,-8.469541986,-6.468617134
0.1016408204,2.00258327,-5.166844023,-3.164260753
0.1424612306,2.005075946,-3.756127733,-1.751051787
0.1832816408,2.008403919,-2.9731812,-0.9647772809
0.224102051,2.012568574,-2.474903166,-0.4623345919
0.2649224612,2.017571648,-2.129659421,-0.1120877733
0.3057428714,2.023415223,-1.876115753,0.14729947
0.3465632816,2.030101735,-1.681836174,0.3482655607
0.3873836918,2.037633969,-1.528057317,0.5095766515
0.4282041021,2.046015062,-1.403171507,0.6428435556
0.4690245123,2.055248507,-1.299612937,0.7556355706
0.5098449225,2.06533815,-1.212239679,0.853098471
0.5506653327,2.076288194,-1.137435332,0.938852862
0.5914857429,2.088103201,-1.072582652,1.015520549
0.6323061531,2.100788093,-1.015741067,1.085047026
0.6731265633,2.114348154,-0.9654415306,1.148906623
0.7139469735,2.128789033,-0.9205517406,1.208237293
0.7547673837,2.144116747,-0.8801850957,1.263931651
0.7955877939,2.16033768,-0.8436376737,1.316700006
0.8364082041,2.17745859,-0.8103436614,1.367114928
0.8772286143,2.19548661,-0.7798432253,1.415643384
0.9180490245,2.214429249,-0.7517589504,1.462670299
0.9588694347,2.2342944,-0.7257782951,1.508516105
0.9996898449,2.255090337,-0.7016403415,1.553449996
1.040510255,2.276825725,-0.6791256626,1.597700062
1.081330665,2.299509617,-0.6580484821,1.641461135
1.122151076,2.323151465,-0.6382505443,1.68490092
1.162971486,2.347761116,-0.6195962725,1.728164844
1.203791896,2.373348823,-0.6019689113,1.771379912
1.244612306,2.399925246,-0.5852674275,1.814657819
1.285432716,2.427501456,-0.5694039992,1.858097457
1.326253127,2.456088941,-0.5543019689,1.901786972
1.367073537,2.485699611,-0.5398941616,1.945805449
1.407893947,2.5163458,-0.5261214955,1.990224305
1.448714357,2.548040276,-0.5129318272,2.035108449
1.489534767,2.580796243,-0.5002789858,2.080517257
1.530355178,2.614627346,-0.4881219619,2.126505384
1.571175588,2.649547679,-0.476424223,2.173123456
1.611995998,2.68557179,-0.4651531321,2.220418658
1.652816408,2.722714685,-0.4542794536,2.268435232
1.693636818,2.760991839,-0.4437769297,2.317214909
1.734457229,2.800419197,-0.4336219177,2.366797279
1.775277639,2.841013184,-0.4237930765,2.417220107
1.816098049,2.882790711,-0.4142710969,2.468519615
1.856918459,2.925769183,-0.4050384665,2.520730717
1.897738869,2.969966504,-0.3960792663,2.573887238
1.93855928,3.015401086,-0.3873789926,2.628022094
1.97937969,3.062091857,-0.3789244016,2.683167455
2.0202001,3.110058267,-0.3707033735,2.739354894
2.06102051,3.1593203,-0.3627047923,2.796615508
2.10184092,3.209898477,-0.3549184408,2.854980036
2.142661331,3.261813868,-0.3473349076,2.91447896
2.183481741,3.315088101,-0.339945505,2.975142596
2.224302151,3.369743371,-0.3327421962,3.037001174
2.265122561,3.425802444,-0.3257175308,3.100084913
2.305942971,3.483288676,-0.3188645877,3.164424088
2.346763382,3.542226014,-0.3121769238,3.23004909
2.387583792,3.602639012,-0.3056485289,3.296990483
2.428404202,3.664552836,-0.2992737848,3.365279051
2.469224612,3.72799328,-0.2930474297,3.43494585
2.510045023,3.792986772,-0.2869645251,3.506022247
2.550865433,3.859560388,-0.2810204274,3.57853996
2.591685843,3.927741862,-0.2752107616,3.6525311
2.632506253,3.997559597,-0.2695313979,3.728028199
2.673326663,4.06904268,-0.2639784312,3.805064248
2.714147074,4.142220888,-0.2585481616,3.883672727
2.754967484,4.217124709,-0.2532370778,3.963887631
2.795787894,4.293785345,-0.248041842,4.045743503
2.836608304,4.372234734,-0.2429592755,4.129275458
2.877428714,4.452505555,-0.237986347,4.214519208
2.918249125,4.534631251,-0.2331201607,4.30151109
2.959069535,4.618646032,-0.2283579465,4.390288086
2.999889945,4.7045849,-0.2236970504,4.480887849
3.040710355,4.792483655,-0.2191349267,4.573348728
3.081530765,4.882378915,-0.2146691301,4.667709785
3.122351176,4.97430813,-0.2102973086,4.764010821
3.163171586,5.068309597,-0.2060171978,4.862292399
3.203991996,5.164422475,-0.2018266146,4.96259586
3.244812406,5.262686805,-0.1977234525,5.064963353
3.285632816,5.363143523,-0.1937056766,5.169437846
3.326453227,5.465834478,-0.1897713194,5.276063158
3.367273637,5.570802449,-0.1859184769,5.384883972
3.408094047,5.678091167,-0.1821453048,5.495945862
3.448914457,5.787745326,-0.1784500155,5.60929531
3.489734867,5.899810607,-0.1748308745,5.724979732
3.530555278,6.014333695,-0.1712861986,5.843047497
3.571375688,6.131362301,-0.1678143522,5.963547949
3.612196098,6.250945177,-0.1644137458,6.086531431
3.653016508,6.373132139,-0.1610828334,6.212049306
3.693836918,6.497974091,-0.1578201108,6.34015398
3.734657329,6.62552304,-0.1546241133,6.470898926
3.775477739,6.755832121,-0.1514934145,6.604338707
3.816298149,6.888955621,-0.1484266243,6.740528997
3.857118559,7.024948998,-0.1454223875,6.87952661
3.897938969,7.163868904,-0.1424793827,7.021389522
3.93875938,7.305773214,-0.1395963207,7.166176893
3.97957979,7.450721042,-0.1367719434,7.313949099
4.0204002,7.598772773,-0.1340050227,7.46476775
4.06122061,7.749990084,-0.1312943594,7.618695725
