k,log_k,Lambda(k)k^(-1/2)
2,0.6931471806,0.4901290717
3,1.098612289,0.6342841006
4,1.386294361,0.3465735903
5,1.609437912,0.7197625156
7,1.945910149,0.735484904
8,2.079441542,0.2450645359
9,2.197224577,0.3662040962
11,2.397895273,0.7229926279
13,2.564949357,0.7113889559
16,2.772588722,0.1732867951
17,2.833213344,0.6871551693
19,2.944438979,0.6755006292
23,3.135494216,0.6537957392
25,3.218875825,0.3218875825
27,3.295836866,0.2114280335
29,3.36729583,0.6252911379
31,3.433987204,0.616762309
32,3.465735903,0.1225322679
37,3.610917913,0.5936312481
41,3.713572067,0.5799625197
43,3.761200116,0.5735776404
47,3.850147602,0.5616017472
49,3.891820298,0.2779871642
