# Re V_n(u) = L^(-1/2) cos(2 pi n (log u + L/2)/L) on the x = 13 window (floating point)
log_u,Re V_0,Re V_1,Re V_2,Re V_5
-1.282474679,0.624396705,0.624396705,0.624396705,0.624396705
-1.256803793,0.624396705,0.6231625454,0.6194649452,0.5937859786
-1.231132907,0.624396705,0.6194649452,0.6047475719,0.5049551494
-1.205462021,0.624396705,0.6133185215,0.580477074,0.3666139886
-1.179791135,0.624396705,0.6047475719,0.5470368494,0.1923267044
-1.154120249,0.624396705,0.5937859786,0.5049551494,-0.0008180148208
-1.128449363,0.624396705,0.580477074,0.4548967335,-0.1938825285
-1.102778477,0.624396705,0.5648734699,0.3976523686,-0.3679370603
-1.077107591,0.624396705,0.5470368494,0.334126337,-0.5059157428
-1.051436705,0.624396705,0.5270377228,0.2653221518,-0.5942899085
-1.025765819,0.624396705,0.5049551494,0.1923267044,-0.6243945617
-1.000094933,0.624396705,0.4808764242,0.1162930951,-0.5932779721
-0.974424047,0.624396705,0.4548967335,0.03842241785,-0.5039910893
-0.948753161,0.624396705,0.4271187784,-0.04005521377,-0.3652884
-0.923082275,0.624396705,0.3976523686,-0.117900098,-0.1907695599
-0.897411389,0.624396705,0.3666139886,-0.1938825285,0.002454038847
-0.8717405031,0.624396705,0.334126337,-0.26680222,0.1954370216
-0.8460696171,0.624396705,0.3003178416,-0.3355072689,0.3692576059
-0.8203987311,0.624396705,0.2653221518,-0.3989123498,0.5068728629
-0.7947278451,0.624396705,0.2292776098,-0.4560158602,0.5947897584
-0.7690569591,0.624396705,0.1923267044,-0.5059157428,0.6243881317
-0.7433860732,0.624396705,0.1546155071,-0.5478237352,0.5927658926
-0.7177151872,0.624396705,0.1162930951,-0.5810778218,0.5030235692
-0.6920443012,0.624396705,0.07751096183,-0.6051526919,0.3639603036
-0.6663734152,0.624396705,0.03842241785,-0.6196680376,0.1892111057
-0.6407025292,0.624396705,-0.0008180148208,-0.6243945617,-0.004090046024
-0.6150316433,0.624396705,-0.04005521377,-0.6192575999,-0.1969901729
-0.5893607573,0.624396705,-0.07913406939,-0.6043383002,-0.3705756165
-0.5636898713,0.624396705,-0.117900098,-0.579872341,-0.5078265032
-0.5380189853,0.624396705,-0.1562000526,-0.546246208,-0.595285525
-0.5123480993,0.624396705,-0.1938825285,-0.5039910893,-0.624377415
-0.4866772134,0.624396705,-0.2307985623,-0.4537744839,-0.5922497436
-0.4610063274,0.624396705,-0.26680222,-0.3963896575,-0.5020525956
-0.4353354414,0.624396705,-0.3017511748,-0.3327431112,-0.3626297085
-0.4096645554,0.624396705,-0.3355072689,-0.263840262,-0.1876513524
-0.3839936694,0.624396705,-0.3679370603,-0.1907695599,0.005726025123
-0.3583227835,0.624396705,-0.3989123498,-0.1146852939,0.1985419718
-0.3326518975,0.624396705,-0.4283106882,-0.03678935814,0.371891083
-0.3069810115,0.624396705,-0.4560158602,0.04168773471,0.508776657
-0.2813101255,0.624396705,-0.4819183436,0.1195062914,0.5957772046
-0.2556392395,0.624396705,-0.5059157428,0.1954370216,0.6243624118
-0.2299683536,0.624396705,-0.5279131929,0.2682804566,0.5917295285
-0.2042974676,0.624396705,-0.5478237352,0.3368858975,0.5010781753
-0.1786265816,0.624396705,-0.5655686608,0.4001695923,0.3612966238
-0.1529556956,0.624396705,-0.5810778218,0.4571318561,0.186090311
-0.1272848096,0.624396705,-0.5942899085,0.5068728629,-0.00736196491
