# certified, outputs/rtp1_a1_axisx_ccm_N60.txt and _N120.txt; the last column is from the COMPARISON STEP blocks
N,x,log10_r_j,log10_eps,"log10_err_z1 (COMPARISON, zeros used)"
60,2,0.5336449788,-2.875834996,-0.6716203966
60,3,0.4860051864,-7.25021114,-4.328827157
60,4,0.4674601095,-12.09000936,-8.853871964
60,5,0.3900514965,-16.94909848,-13.53165267
60,7,0.3928727454,-27.0585323,-23.43889862
60,8,0.3422252294,-32.28306393,-28.60205999
60,9,0.2265999052,-37.42317279,-33.69464863
60,11,0.2182728536,-47.78864982,-43.99139983
60,13,0.06781451116,-57.99415054,-54.1481304
60,16,-0.7530093008,-70.15518993,-66.24641694
60,17,-1.153601027,-73.25074074,-69.32148162
60,19,-2.259558355,-78.73713854,-74.76955108
60,23,-4.996970529,-87.36789819,-83.326058
60,25,-7.338376591,-90.96683368,-86.89279003
60,27,-6.920818754,-94.33576619,-90.22988471
60,29,-10.07623804,-96.78890617,-92.64975198
60,31,-10.32744037,-99.31680882,-95.14935376
60,32,-12.07841756,-100.4614853,-96.27901426
60,37,-16.08113126,-105.6064862,-101.3565473
60,41,-18.34476549,-109.1261408,-104.8268137
60,43,-20.26137797,-110.7279309,-106.4045038
60,47,-22.71737789,-113.6702504,-109.3018995
60,49,-23.19354868,-115.2457457,-110.8569852
60,50,-24.27278418,-115.7569371,-111.3565473
120,2,0.599555591,-2.876203874,-0.6716203966
120,3,0.5587085705,-7.255547414,-4.333482019
120,4,0.5331362883,-12.11652992,-8.879426069
120,5,0.4933186082,-17.01077451,-13.59176003
120,7,0.4482424126,-27.11513783,-23.49485002
120,8,0.4649364291,-32.34980228,-28.66756154
120,9,0.4276483712,-37.52958069,-33.80134291
120,11,0.3984608496,-47.95050675,-44.15304467
120,13,0.4287825115,-58.4579231,-54.61261017
120,16,0.2489536155,-74.42678133,-70.53313238
120,17,0.2999429,-79.67872477,-75.77469072
120,19,0.2119210843,-90.23845628,-86.31247104
120,23,-0.1889614914,-110.10591,-106.14752
120,25,-0.592269272,-118.2790869,-114.3053948
