# minimal even eigenvector as a function on the centred window log u in [-L/2, L/2], unit L^2(d*u) norm;
# recomputed (multiprecision midpoint inverse iteration on zst's even block); Rayleigh quotient = certified eps
x,N,log_u,xi(u)
13,60,-1.282474679,-1.251061662e-17
13,60,-1.269649932,-3.409764566e-17
13,60,-1.256825185,3.675619507e-17
13,60,-1.244000438,5.560518585e-17
13,60,-1.231175692,-1.485074292e-17
13,60,-1.218350945,7.062086336e-17
13,60,-1.205526198,6.484125501e-18
13,60,-1.192701451,-3.526845604e-17
13,60,-1.179876704,8.571247693e-16
13,60,-1.167051958,3.428730472e-15
13,60,-1.154227211,1.711392162e-14
13,60,-1.141402464,7.68614819e-14
13,60,-1.128577717,3.137403812e-13
13,60,-1.11575297,1.177851491e-12
13,60,-1.102928224,4.090119344e-12
13,60,-1.090103477,1.325172616e-11
13,60,-1.07727873,4.031620969e-11
13,60,-1.064453983,1.158007312e-10
13,60,-1.051629237,3.154995303e-10
13,60,-1.03880449,8.186796097e-10
13,60,-1.025979743,2.030554268e-09
13,60,-1.013154996,4.829230247e-09
13,60,-1.000330249,1.104406918e-08
13,60,-0.9875055026,2.43480991e-08
13,60,-0.9746807558,5.186481017e-08
13,60,-0.961856009,1.069657646e-07
13,60,-0.9490312623,2.139890856e-07
13,60,-0.9362065155,4.159607184e-07
13,60,-0.9233817687,7.868704823e-07
13,60,-0.9105570219,1.450659577e-06
13,60,-0.8977322751,2.609823814e-06
13,60,-0.8849075283,4.587423192e-06
13,60,-0.8720827815,7.887291777e-06
13,60,-0.8592580347,1.327831852e-05
13,60,-0.846433288,2.190975066e-05
13,60,-0.8336085412,3.54654616e-05
13,60,-0.8207837944,5.63659045e-05
13,60,-0.8079590476,8.802690255e-05
13,60,-0.7951343008,0.0001351843553
13,60,-0.782309554,0.0002042932191
13,60,-0.7694848072,0.0003040076155
13,60,-0.7566600605,0.0004457465258
13,60,-0.7438353137,0.0006443462001
13,60,-0.7310105669,0.0009187961344
13,60,-0.7181858201,0.001293050345
13,60,-0.7053610733,0.001796899843
13,60,-0.6925363265,0.00246688592
13,60,-0.6797115797,0.003347227412
13,60,-0.6668868329,0.004490728872
13,60,-0.6540620862,0.005959630935
13,60,-0.6412373394,0.007826359563
13,60,-0.6284125926,0.01017412765
13,60,-0.6155878458,0.01309734106
13,60,-0.602763099,0.01670176173
13,60,-0.5899383522,0.02110438344
13,60,-0.5771136054,0.02643298085
13,60,-0.5642888586,0.03282530002
13,60,-0.5514641119,0.0404278679
13,60,-0.5386393651,0.04939440967
13,60,-0.5258146183,0.05988387541
13,60,-0.5129898715,0.07205809109
13,60,-0.5001651247,0.08607906262
13,60,-0.4873403779,0.1021059753
13,60,-0.4745156311,0.1202919437
13,60,-0.4616908843,0.1407805784
13,60,-0.4488661376,0.1637024452
13,60,-0.4360413908,0.1891714999
13,60,-0.423216644,0.2172815851
13,60,-0.4103918972,0.2481030797
13,60,-0.3975671504,0.2816797867
13,60,-0.3847424036,0.3180261453
13,60,-0.3719176568,0.3571248421
13,60,-0.35909291,0.3989248912
13,60,-0.3462681633,0.443340239
13,60,-0.3334434165,0.4902489375
13,60,-0.3206186697,0.5394929172
13,60,-0.3077939229,0.5908783737
13,60,-0.2949691761,0.6441767696
13,60,-0.2821444293,0.6991264377
13,60,-0.2693196825,0.7554347575
13,60,-0.2564949357,0.8127808658
13,60,-0.243670189,0.8708188497
13,60,-0.2308454422,0.9291813617
13,60,-0.2180206954,0.9874835899
13,60,-0.2051959486,1.04532751
13,60,-0.1923712018,1.102306345
13,60,-0.179546455,1.15800915
13,60,-0.1667217082,1.212025462
13,60,-0.1538969614,1.263949916
13,60,-0.1410722147,1.313386791
13,60,-0.1282474679,1.3599544
13,60,-0.1154227211,1.403289272
13,60,-0.1025979743,1.443050097
13,60,-0.08977322751,1.478921359
13,60,-0.07694848072,1.510616666
13,60,-0.06412373394,1.537881707
13,60,-0.05129898715,1.560496857
13,60,-0.03847424036,1.578279387
13,60,-0.02564949357,1.591085281
13,60,-0.01282474679,1.598810654
13,60,0.0,1.601392772
13,60,0.01282474679,1.598810654
13,60,0.02564949357,1.591085281
13,60,0.03847424036,1.578279387
13,60,0.05129898715,1.560496857
13,60,0.06412373394,1.537881707
13,60,0.07694848072,1.510616666
13,60,0.08977322751,1.478921359
13,60,0.1025979743,1.443050097
13,60,0.1154227211,1.403289272
13,60,0.1282474679,1.3599544
13,60,0.1410722147,1.313386791
13,60,0.1538969614,1.263949916
13,60,0.1667217082,1.212025462
13,60,0.179546455,1.15800915
13,60,0.1923712018,1.102306345
13,60,0.2051959486,1.04532751
13,60,0.2180206954,0.9874835899
13,60,0.2308454422,0.9291813617
13,60,0.243670189,0.8708188497
13,60,0.2564949357,0.8127808658
13,60,0.2693196825,0.7554347575
13,60,0.2821444293,0.6991264377
13,60,0.2949691761,0.6441767696
13,60,0.3077939229,0.5908783737
13,60,0.3206186697,0.5394929172
13,60,0.3334434165,0.4902489375
13,60,0.3462681633,0.443340239
13,60,0.35909291,0.3989248912
13,60,0.3719176568,0.3571248421
13,60,0.3847424036,0.3180261453
13,60,0.3975671504,0.2816797867
13,60,0.4103918972,0.2481030797
13,60,0.423216644,0.2172815851
13,60,0.4360413908,0.1891714999
13,60,0.4488661376,0.1637024452
13,60,0.4616908843,0.1407805784
13,60,0.4745156311,0.1202919437
13,60,0.4873403779,0.1021059753
13,60,0.5001651247,0.08607906262
13,60,0.5129898715,0.07205809109
13,60,0.5258146183,0.05988387541
13,60,0.5386393651,0.04939440967
13,60,0.5514641119,0.0404278679
13,60,0.5642888586,0.03282530002
13,60,0.5771136054,0.02643298085
13,60,0.5899383522,0.02110438344
13,60,0.602763099,0.01670176173
13,60,0.6155878458,0.01309734106
13,60,0.6284125926,0.01017412765
13,60,0.6412373394,0.007826359563
13,60,0.6540620862,0.005959630935
13,60,0.6668868329,0.004490728872
13,60,0.6797115797,0.003347227412
13,60,0.6925363265,0.00246688592
13,60,0.7053610733,0.001796899843
13,60,0.7181858201,0.001293050345
13,60,0.7310105669,0.0009187961344
13,60,0.7438353137,0.0006443462001
13,60,0.7566600605,0.0004457465258
13,60,0.7694848072,0.0003040076155
13,60,0.782309554,0.0002042932191
13,60,0.7951343008,0.0001351843553
13,60,0.8079590476,8.802690255e-05
13,60,0.8207837944,5.63659045e-05
13,60,0.8336085412,3.54654616e-05
13,60,0.846433288,2.190975066e-05
13,60,0.8592580347,1.327831852e-05
13,60,0.8720827815,7.887291777e-06
13,60,0.8849075283,4.587423192e-06
13,60,0.8977322751,2.609823814e-06
13,60,0.9105570219,1.450659577e-06
13,60,0.9233817687,7.868704823e-07
13,60,0.9362065155,4.159607184e-07
13,60,0.9490312623,2.139890856e-07
13,60,0.961856009,1.069657646e-07
