# certified, outputs/rtp1_a1_axisN_x13.txt (joint even/odd admissible interval of b_(N+1));
# section panel recomputed: d=3.227966541 cc=2.078269218 cw=1.419377213 ww=1.699619746 (x=13, N=60, even block)
N,r_j,tau_j,b_true(N+1),Delta_I_s
5,7.782e-07,-0.999,-0.211336,10.43
10,9.22e-08,1,0.314113,16.5
20,5.144e-06,1,0.147374,14.13
30,0.09664,-1,0.486824,14.86
40,0.1029,0.999,0.625568,11.64
50,0.4725,-0.986,-0.576844,6.932
56,0.7476,0.461,0.546108,0.4564
60,1.169,0.71,1.02718,1.269
70,1.196,-0.0356,0.363448,0.00176
100,1.86,0.266,0.584666,0.1477
150,3.227,-0.214,-0.127143,0.09103
200,2.836,0.104,0.554288,0.02127
