# zst_riemann_ab at x = 13, prime powers <= 13, 300 bits (midpoints); tau_nm = (b_n - b_m)/(n - m), tau_nn = a_n
n,a_n,b_n
0,0.04533284422,np.float64(0.0)
1,0.04651188954,0.04572034424
2,0.05062104836,0.09398184489
3,0.06030257949,0.148752677
4,0.08724979667,0.2198853807
5,0.2529240876,0.3588360212
6,2.233238205,-0.2113357262
7,0.22933196,0.3018051009
8,0.817730638,0.6728320513
9,1.539427154,-0.2106265332
10,2.447289191,0.6786154345
11,0.4167425955,0.3141126226
12,1.621662336,0.9537758972
13,2.121480455,0.4611158983
14,1.123859065,-0.1410014035
15,1.99749284,0.7637159951
16,1.000883449,0.2044055491
17,2.494141883,-0.1271634896
18,2.172659497,-0.3226835179
19,1.013780913,0.5849370381
20,3.475914446,0.2473955535
21,1.195814103,0.1473737143
22,1.799925072,-0.458754272
23,2.903160204,0.2891645477
24,2.450427986,0.829368566
25,2.783317324,-0.05750468383
26,1.065635325,0.8204857567
27,3.195293492,0.474278554
28,2.457053942,0.5267113004
29,2.270142816,0.3861809594
30,1.124836616,-0.1137889899
