# certified (balls of radius < 1e-59), parsed from outputs/rtp1_prime_content.txt section 2
S,A,dim,delta_max,binding_ratio,foreign_prime_power
{2},1,2,0.2027325541,2,3
{2},2,3,0.1115717757,4,5
{2},3,4,0.05889151783,8,9
{2},4,5,0.03031231091,16,17
{2},5,6,0.01587434916,32,31
{2},6,7,0.01587434916,32,31
"{2,3}",1,4,0.07707533991,6,7
"{2,3}",2,9,0.01369948709,36,37
"{2,3}",3,16,0.004608327552,108,109
"{2,3}",4,25,0.0003856537021,1296,1297
"{2,3,5}",1,8,0.01639491141,30,31
"{2,3,5}",2,27,0.001112347511,450,449
"{2,3,5}",3,64,3.703840885e-05,13500,13499
"{2,3,5}",4,125,1.234566377e-06,405000,405001
