# lane A2 routines (certified simple minimal eigenpairs, arb midpoints); sign: largest component positive
S,A,delta,lattice_point,v_min(G),v_min(G_nomix) (product state),difference
"{2,3}",2,0.01232,"(0, 0)",0.2738292994,0.3008895617,-0.02706026232
"{2,3}",2,0.01232,"(0, 1)",0.3632591514,0.3549416855,0.008317465886
"{2,3}",2,0.01232,"(0, 2)",0.3049247667,0.3008895617,0.004035204985
"{2,3}",2,0.01232,"(1, 0)",0.3359049955,0.3373145627,-0.001409567209
"{2,3}",2,0.01232,"(1, 1)",0.4177296359,0.3979101129,0.01981952304
"{2,3}",2,0.01232,"(1, 2)",0.3359049955,0.3373145627,-0.001409567209
"{2,3}",2,0.01232,"(2, 0)",0.3049247667,0.3008895617,0.004035204985
"{2,3}",2,0.01232,"(2, 1)",0.3632591514,0.3549416855,0.008317465886
"{2,3}",2,0.01232,"(2, 2)",0.2738292994,0.3008895617,-0.02706026232
"{2,3}",3,0.004147,"(0, 0)",0.1752025696,0.2026705082,-0.02746793857
"{2,3}",3,0.004147,"(0, 1)",0.250664253,0.2542582609,-0.003594007941
"{2,3}",3,0.004147,"(0, 2)",0.261129142,0.2542582609,0.006870881109
"{2,3}",3,0.004147,"(0, 3)",0.2032373753,0.2026705082,0.0005668671339
"{2,3}",3,0.004147,"(1, 0)",0.2264242226,0.2367586197,-0.01033439709
"{2,3}",3,0.004147,"(1, 1)",0.3067475186,0.2970231605,0.009724358088
"{2,3}",3,0.004147,"(1, 2)",0.3099743608,0.2970231605,0.01295120031
"{2,3}",3,0.004147,"(1, 3)",0.235651351,0.2367586197,-0.001107268658
"{2,3}",3,0.004147,"(2, 0)",0.235651351,0.2367586197,-0.001107268658
"{2,3}",3,0.004147,"(2, 1)",0.3099743608,0.2970231605,0.01295120031
"{2,3}",3,0.004147,"(2, 2)",0.3067475186,0.2970231605,0.009724358088
"{2,3}",3,0.004147,"(2, 3)",0.2264242226,0.2367586197,-0.01033439709
"{2,3}",3,0.004147,"(3, 0)",0.2032373753,0.2026705082,0.0005668671339
"{2,3}",3,0.004147,"(3, 1)",0.261129142,0.2542582609,0.006870881109
"{2,3}",3,0.004147,"(3, 2)",0.250664253,0.2542582609,-0.003594007941
"{2,3}",3,0.004147,"(3, 3)",0.1752025696,0.2026705082,-0.02746793857
"{2,3,5}",2,0.001001,"(0, 0, 0)",0.1489837265,0.1637391419,-0.01475541535
"{2,3,5}",2,0.001001,"(0, 0, 1)",0.1973056514,0.1983995538,-0.001093902418
"{2,3,5}",2,0.001001,"(0, 0, 2)",0.1641306665,0.1637391419,0.0003915246287
"{2,3,5}",2,0.001001,"(0, 1, 0)",0.1850374627,0.1893831492,-0.00434568649
"{2,3,5}",2,0.001001,"(0, 1, 1)",0.2350844391,0.2294719019,0.005612537158
"{2,3,5}",2,0.001001,"(0, 1, 2)",0.1913525513,0.1893831492,0.001969402095
"{2,3,5}",2,0.001001,"(0, 2, 0)",0.1625570526,0.1637391419,-0.001182089269
"{2,3,5}",2,0.001001,"(0, 2, 1)",0.2018496984,0.1983995538,0.003450144534
"{2,3,5}",2,0.001001,"(0, 2, 2)",0.1596852581,0.1637391419,-0.0040538838
"{2,3,5}",2,0.001001,"(1, 0, 0)",0.1741275694,0.181011765,-0.006884195617
"{2,3,5}",2,0.001001,"(1, 0, 1)",0.2237316595,0.2193284575,0.004403201953
"{2,3,5}",2,0.001001,"(1, 0, 2)",0.1833737157,0.181011765,0.002361950726
"{2,3,5}",2,0.001001,"(1, 1, 0)",0.2111407338,0.2093609244,0.001779809395
"{2,3,5}",2,0.001001,"(1, 1, 1)",0.2629297465,0.2536785861,0.00925116046
"{2,3,5}",2,0.001001,"(1, 1, 2)",0.2111407338,0.2093609244,0.001779809395
"{2,3,5}",2,0.001001,"(1, 2, 0)",0.1833737157,0.181011765,0.002361950726
"{2,3,5}",2,0.001001,"(1, 2, 1)",0.2237316595,0.2193284575,0.004403201953
"{2,3,5}",2,0.001001,"(1, 2, 2)",0.1741275694,0.181011765,-0.006884195617
"{2,3,5}",2,0.001001,"(2, 0, 0)",0.1596852581,0.1637391419,-0.0040538838
"{2,3,5}",2,0.001001,"(2, 0, 1)",0.2018496984,0.1983995538,0.003450144534
"{2,3,5}",2,0.001001,"(2, 0, 2)",0.1625570526,0.1637391419,-0.001182089269
"{2,3,5}",2,0.001001,"(2, 1, 0)",0.1913525513,0.1893831492,0.001969402095
"{2,3,5}",2,0.001001,"(2, 1, 1)",0.2350844391,0.2294719019,0.005612537158
"{2,3,5}",2,0.001001,"(2, 1, 2)",0.1850374627,0.1893831492,-0.00434568649
"{2,3,5}",2,0.001001,"(2, 2, 0)",0.1641306665,0.1637391419,0.0003915246287
"{2,3,5}",2,0.001001,"(2, 2, 1)",0.1973056514,0.1983995538,-0.001093902418
"{2,3,5}",2,0.001001,"(2, 2, 2)",0.1489837265,0.1637391419,-0.01475541535
