# certified, parsed from outputs/rtp1_prime_content.txt (summary table 5b and section 6)
S_or_step,A,delta,gap_mix,schmidt_defect,1-overlap
"{2,3}",1,0.06936,-0.148,0.00332
"{2,3}",1,0.02312,-0.051,0.000242
"{2,3}",1,0.007707,-0.0171,2.38e-05
"{2,3}",2,0.01232,-0.147,0.000972
"{2,3}",2,0.004109,-0.0503,9.18e-05
"{2,3}",2,0.001369,-0.0169,9.66e-06
"{2,3}",3,0.004147,-0.151,0.001
"{2,3}",3,0.001382,-0.0518,0.0001
"{2,3}",3,0.0004608,-0.0174,1.08e-05
"{2,3}",4,0.000347,-0.0324,4.36e-05
"{2,3}",4,0.0001156,-0.0109,4.78e-06
"{2,3}",4,3.856e-05,-0.00363,5.29e-07
"{2,3,5}",1,0.01475,-0.18,0.00151
"{2,3,5}",1,0.004918,-0.061,0.000139
"{2,3,5}",1,0.001639,-0.0204,1.45e-05
"{2,3,5}",2,0.001001,-0.101,0.000366
"{2,3,5}",2,0.0003337,-0.0341,3.89e-05
"{2,3,5}",2,0.0001112,-0.0114,4.25e-06
"{2,3,5}",3,3.333e-05,-0.016,1.49e-05
"{2,3,5}",3,1.111e-05,-0.00534,1.65e-06
"{2,3,5}",3,3.703e-06,-0.00178,1.84e-07
"{2,3,5}",4,1.111e-06,-0.00204,4.6e-07
"{2,3,5}",4,3.703e-07,-0.00068,5.11e-08
"{2,3,5}",4,1.234e-07,-0.000227,5.68e-09
"{2}->{2,3}",1,0.01475,,,4.604e-05
"{2,3}->{2,3,5}",1,0.01475,,,0.000755
"{2}->{2,3}",1,0.001475,,,4.155e-07
"{2,3}->{2,3,5}",1,0.001475,,,5.848e-06
"{2}->{2,3}",1,0.0001475,,,4.114e-09
"{2,3}->{2,3,5}",1,0.0001475,,,5.709e-08
"{2}->{2,3}",2,0.001001,,,4.81e-06
"{2,3}->{2,3,5}",2,0.001001,,,0.0004128
"{2}->{2,3}",2,0.0001001,,,4.698e-08
"{2,3}->{2,3,5}",2,0.0001001,,,3.731e-06
"{2}->{2,3}",2,1.001e-05,,,4.687e-10
"{2,3}->{2,3,5}",2,1.001e-05,,,3.693e-08
"{2}->{2,3}",3,3.333e-05,,,7.173e-08
"{2,3}->{2,3,5}",3,3.333e-05,,,2.376e-05
"{2}->{2,3}",3,3.333e-06,,,7.16e-10
"{2,3}->{2,3,5}",3,3.333e-06,,,2.348e-07
"{2}->{2,3}",3,3.333e-07,,,7.158e-12
"{2,3}->{2,3,5}",3,3.333e-07,,,2.345e-09
"{2}->{2,3}",4,1.111e-06,,,7.641e-10
"{2,3}->{2,3,5}",4,1.111e-06,,,9.692e-07
"{2}->{2,3}",4,1.111e-07,,,7.64e-12
"{2,3}->{2,3,5}",4,1.111e-07,,,9.682e-09
"{2}->{2,3}",4,1.111e-08,,,7.64e-14
"{2,3}->{2,3,5}",4,1.111e-08,,,9.681e-11
