# QW(phi_delta, phi_delta)/||phi_delta||^2 split by term, floating point (autocorrelation on a grid);
# certified check points from lane A2 (entry(1, delta)) at delta = 0.02, 0.05, 0.1, 0.15, 0.2
delta,pole,archimedean,prime,total
0.02,0.05924994266,1.949161267,np.float64(0.0),2.00841121
0.025,0.07406308703,1.724169472,np.float64(0.0),1.798232559
0.03,0.08887667054,1.540000432,np.float64(0.0),1.628877103
0.035,0.103690781,1.384003041,np.float64(0.0),1.487693822
0.04,0.1185055064,1.24862572,np.float64(0.0),1.367131227
0.045,0.1333209343,1.128997549,np.float64(0.0),1.262318484
0.05,0.1481371528,1.021792703,np.float64(0.0),1.169929856
0.055,0.1629542497,0.924639008,np.float64(0.0),1.087593258
0.06,0.1777723129,0.835784942,np.float64(0.0),1.013557255
0.065,0.1925914301,0.7539003826,np.float64(0.0),0.9464918127
0.07,0.2074116894,0.6779514067,np.float64(0.0),0.8853630961
0.075,0.2222331786,0.6071183905,np.float64(0.0),0.8293515691
0.08,0.2370559855,0.5407405945,np.float64(0.0),0.7777965801
0.085,0.2518801982,0.4782775786,np.float64(0.0),0.7301577768
0.09,0.2667059046,0.4192816622,np.float64(0.0),0.6859875668
0.095,0.2815331925,0.3633778408,np.float64(0.0),0.6449110333
0.1,0.2963621499,0.3102488596,np.float64(0.0),0.6066110095
0.105,0.3111928649,0.2596239326,np.float64(0.0),0.5708167975
0.11,0.3260254253,0.2112700891,np.float64(0.0),0.5372955144
0.115,0.3408599192,0.1649854443,np.float64(0.0),0.5058453636
0.12,0.3556964347,0.1205939042,np.float64(0.0),0.4762903388
0.125,0.3705350596,0.07794095112,np.float64(0.0),0.4484760107
0.13,0.3853758821,0.03689025743,np.float64(0.0),0.4222661395
0.135,0.4002189903,-0.002679062372,np.float64(0.0),0.3975399279
0.14,0.4150644721,-0.04087469893,np.float64(0.0),0.3741897732
0.145,0.4299124159,-0.07779300098,np.float64(0.0),0.3521194149
0.15,0.4447629095,-0.1135205141,np.float64(0.0),0.3312423955
0.155,0.4596160413,-0.1481352668,np.float64(0.0),0.3114807745
0.16,0.4744718994,-0.1817078528,np.float64(0.0),0.2927640465
0.165,0.4893305719,-0.2143023464,np.float64(0.0),0.2750282254
0.17,0.5041921471,-0.2459770811,np.float64(0.0),0.258215066
0.175,0.5190567133,-0.2767853155,np.float64(0.0),0.2422713977
0.18,0.5339243586,-0.3067758054,np.float64(0.0),0.2271485532
0.185,0.5487951714,-0.3359932973,np.float64(0.0),0.2128018741
0.19,0.5636692401,-0.3644789564,np.float64(0.0),0.1991902836
0.195,0.5785466529,-0.3922707386,np.float64(0.0),0.1862759142
0.2,0.5934274982,-0.4194037157,np.float64(0.0),0.1740237825
0.205,0.6083118645,-0.4459103602,np.float64(0.0),0.1624015043
0.21,0.6231998401,-0.4718207959,np.float64(0.0),0.1513790442
0.215,0.6380915136,-0.4971630194,np.float64(0.0),0.1409284942
0.22,0.6529869734,-0.5219630952,np.float64(0.0),0.1310238782
0.225,0.667886308,-0.5462453297,np.float64(0.0),0.1216409783
0.23,0.6827896061,-0.5700324258,np.float64(0.0),0.1127571803
0.235,0.6976969562,-0.5933456207,np.float64(0.0),0.1043513355
0.24,0.7126084469,-0.6162048097,np.float64(0.0),0.09640363725
0.245,0.727524167,-0.6386286564,np.float64(0.0),0.08889551057
0.25,0.742444205,-0.6606346927,np.float64(0.0),0.08180951229
0.255,0.7573686498,-0.6822394082,np.float64(0.0),0.07512924155
