# certified outer bounds (100-digit dual certificates), outputs/rtp1_commutant.txt section 6, x = 13, N = 20;
# the last rows: max widths against N (last column: eigenvalues of H_true below 1e-6)
n,Lambda(n)/sqrt(n),w_minus_wtrue_lower,w_minus_wtrue_upper,width
2,0.490129,-1.07e-07,2.28e-15,1.07e-07
3,0.634284,-7.75e-14,7.71e-08,7.71e-08
4,0.346574,-5.21e-13,1.6e-12,2.13e-12
5,0.719763,-4.02e-11,1.02e-14,4.02e-11
6,0.0,-9.35e-14,1.92e-10,1.93e-10
7,0.735485,-6.84e-10,3.03e-12,6.87e-10
8,0.245065,-1.13e-10,3.92e-10,5.05e-10
9,0.366204,-4.85e-09,4.76e-08,5.24e-08
10,0.0,-2.06e-06,1.69e-07,2.23e-06
11,0.722993,-8.32e-06,2.17e-06,1.05e-05
12,0.0,-0.000378,0.00089,0.00127
N=10 max width n<=7 / n<=10 / n<=12,4.2e-05,0.029,0.7,10
N=20 max width n<=7 / n<=10 / n<=12,1.1e-07,2.2e-06,0.0013,16
N=30 max width n<=7 / n<=10 / n<=12,1.9e-07,1.9e-07,2.2e-05,19
N=40 max width n<=7 / n<=10 / n<=12,2.8e-06,2.8e-06,2.8e-06,20
N=60 max width n<=7 / n<=10 / n<=12,2e-07,2e-07,7e-07,20
