# RECOMPUTED for display: in-plane HS coordinates of the marked points (x = 13, N = 20).
# b1: plane through 0 spanned by z_true, z_min;  b2: through 0 spanned by z_true, I;  b3: affine plane through z_true, z_min, z_PNT (origin z_true).
# H0 and z_true from zst (300 bits, then double); z_min, z_PNT from B2's printed coefficient table.
# certified numbers used in annotations: outputs/rtp1_commutant.txt sections 3, 4
panel,point,coord_1,coord_2
b1,zero,0.0,0.0
b1,true,8.21328782,3.885780586e-16
b1,min,0.6822736316,2.259220424
b2,zero,0.0,0.0
b2,true,8.21328782,0.0
b2,iso,0.2925533384,12.55503954
b3,true,0.0,0.0
b3,min,7.862585556,-1.110223025e-15
b3,PNT,6.31223679,4.018158879
b2,recession cone angles (rad),1.157153294,2.089159115
