# certified: G40 from outputs/rtp1_calibration.txt section 4 (negative counts and lambda_min certified);
# zeta from outputs/rtp1_a1_axisx_fixedL_N60.txt (even block)
case,P_or_prime_powers_included,negative_eigenvalues,lambda_min
G40 K=77,0,1,
G40 K=77,1,1,
G40 K=77,2,1,
G40 K=77,3,1,
G40 K=77,4,1,
G40 K=77,5,1,
G40 K=77,6,1,
G40 K=77,7,1,
G40 K=77,8,1,
G40 K=77,9,10,
G40 K=77,10,7,
G40 K=77,11,12,
G40 K=77,12,15,
G40 K=77,13,22,
G40 K=77,14,27,
G40 K=77,15,32,
G40 K=77,16,33,
G40 K=77,17,35,
G40 K=77,18,37,
G40 K=77,19,39,
G40 K=77,20,37,
G40 K=77,21,35,
G40 K=77,22,33,
G40 K=77,23,31,
G40 K=77,24,30,
G40 K=77,25,28,
G40 K=77,26,28,
G40 K=77,27,29,
G40 K=77,28,30,
G40 K=77,29,30,
G40 K=77,30,31,
G40 K=77,31,32,
G40 K=77,32,33,
G40 K=77,33,34,
G40 K=77,34,35,
G40 K=77,35,36,
G40 K=77,36,37,
G40 K=77,37,38,
G40 K=77,38,39,
G40 K=77,39,38,
G40 K=77,40,37,
G40 K=77,41,36,
G40 K=77,42,35,
G40 K=77,43,34,
G40 K=77,44,33,
G40 K=77,45,32,
G40 K=77,46,31,
G40 K=77,47,30,
G40 K=77,48,29,
G40 K=77,49,28,
G40 K=77,50,27,
G40 K=77,51,26,
G40 K=77,52,25,
G40 K=77,53,24,
G40 K=77,54,23,
G40 K=77,55,22,
G40 K=77,56,21,
G40 K=77,57,20,
G40 K=77,58,19,
G40 K=77,59,18,
G40 K=77,60,17,
G40 K=77,61,16,
G40 K=77,62,15,
G40 K=77,63,14,
G40 K=77,64,13,
G40 K=77,65,12,
G40 K=77,66,11,
G40 K=77,67,10,
G40 K=77,68,9,
G40 K=77,69,8,
G40 K=77,70,7,
G40 K=77,71,6,
G40 K=77,72,5,
G40 K=77,73,4,
G40 K=77,74,3,
G40 K=77,75,2,
G40 K=77,76,1,
G40 K=77,77,0,
G40 K=77 table,0,1,-7.775e+11
G40 K=77 table,3,1,-7.775e+11
G40 K=77 table,4,1,-7.775e+11
G40 K=77 table,5,1,-7.775e+11
G40 K=77 table,6,1,-7.775e+11
G40 K=77 table,8,1,-7.775e+11
G40 K=77 table,10,7,-7.775e+11
G40 K=77 table,15,32,-7.775e+11
G40 K=77 table,20,37,-7.775e+11
G40 K=77 table,30,31,-7.775e+11
G40 K=77 table,40,37,-7.775e+11
G40 K=77 table,50,27,-7.775e+11
G40 K=77 table,60,17,-7.774e+11
G40 K=77 table,70,7,-7.585e+11
G40 K=77 table,74,3,-6.248e+11
G40 K=77 table,75,2,-5.31e+11
G40 K=77 table,76,1,-3.887e+11
G40 K=77 table,77,0,6.998e-21
G40 K=38 table,0,1,-1049000
G40 K=38 table,3,1,-1049000
G40 K=38 table,4,1,-1049000
G40 K=38 table,6,1,-1049000
G40 K=38 table,10,4,-1049000
G40 K=38 table,20,18,-1048000
G40 K=38 table,30,8,-1034000
G40 K=38 table,34,4,-923200
G40 K=38 table,35,3,-842500
G40 K=38 table,36,2,-716100
G40 K=38 table,37,1,-524200
G40 K=38 table,38,0,0.0003255
"zeta fixed L=log 50, N=60",0,3,-1.37311
"zeta fixed L=log 50, N=60",1,4,-1.69273
"zeta fixed L=log 50, N=60",2,6,-1.57172
"zeta fixed L=log 50, N=60",3,7,-1.41869
"zeta fixed L=log 50, N=60",4,10,-1.14858
"zeta fixed L=log 50, N=60",5,12,-1.10364
"zeta fixed L=log 50, N=60",6,11,-1.11626
"zeta fixed L=log 50, N=60",7,14,-1.12173
"zeta fixed L=log 50, N=60",8,14,-1.05919
"zeta fixed L=log 50, N=60",9,16,-1.07417
"zeta fixed L=log 50, N=60",10,16,-1.0122
"zeta fixed L=log 50, N=60",11,16,-0.956921
"zeta fixed L=log 50, N=60",12,16,-0.922967
"zeta fixed L=log 50, N=60",13,16,-0.786425
"zeta fixed L=log 50, N=60",14,15,-0.722942
"zeta fixed L=log 50, N=60",15,15,-0.661781
"zeta fixed L=log 50, N=60",16,14,-0.628038
"zeta fixed L=log 50, N=60",17,14,-0.460153
"zeta fixed L=log 50, N=60",18,12,-0.455082
"zeta fixed L=log 50, N=60",19,10,-0.432007
"zeta fixed L=log 50, N=60",20,9,-0.302952
"zeta fixed L=log 50, N=60",21,6,-0.0698996
"zeta fixed L=log 50, N=60",22,3,-5.66175e-07
"zeta fixed L=log 50, N=60",23,0,1.7501e-116
