# certified. G40: outputs/rtp1_calibration.txt section 3 (rows as printed; K = 78: certified ball -2.042e-179 +- 3.730e-175 contains 0)
# zeta: lane A1 eps_N(x), outputs/rtp1_a1_axisx_ccm_N60.txt and _N120.txt (log10 given as 1e<exp>)
case,K_or_x,log10_window_x,lambda_min
G40,0,0.0,78
G40,6,1.806179974,26.88
G40,12,3.612359948,6.849
G40,18,5.418539922,1.335
G40,24,7.224719896,0.1626
G40,30,9.03089987,0.01685
G40,36,10.83707984,0.0009769
G40,42,12.64325982,3.454e-05
G40,48,14.44943979,6.63e-07
G40,54,16.25561977,1.811e-08
G40,60,18.06179974,3.041e-10
G40,66,19.86797971,6.906e-13
G40,72,21.67415969,6.554e-17
G40,73,21.97518968,3.14e-17
G40,74,22.27621968,2.008e-18
G40,75,22.57724967,1.059e-18
G40,76,22.87827967,1.324e-20
G40,77,23.17930967,6.998e-21
G40,78,23.48033966,0.0
zeta CCM N=60,2,0.3010299957,1e-2.875835
zeta CCM N=60,3,0.4771212547,1e-7.250211
zeta CCM N=60,4,0.6020599913,1e-12.090009
zeta CCM N=60,5,0.6989700043,1e-16.949098
zeta CCM N=60,7,0.84509804,1e-27.058532
zeta CCM N=60,8,0.903089987,1e-32.283064
zeta CCM N=60,9,0.9542425094,1e-37.423173
zeta CCM N=60,11,1.041392685,1e-47.788650
zeta CCM N=60,13,1.113943352,1e-57.994151
zeta CCM N=60,16,1.204119983,1e-70.155190
zeta CCM N=60,17,1.230448921,1e-73.250741
zeta CCM N=60,19,1.278753601,1e-78.737139
zeta CCM N=60,23,1.361727836,1e-87.367898
zeta CCM N=60,25,1.397940009,1e-90.966834
zeta CCM N=60,27,1.431363764,1e-94.335766
zeta CCM N=60,29,1.462397998,1e-96.788906
zeta CCM N=60,31,1.491361694,1e-99.316809
zeta CCM N=60,32,1.505149978,1e-100.461485
zeta CCM N=60,37,1.568201724,1e-105.606486
zeta CCM N=60,41,1.612783857,1e-109.126141
zeta CCM N=60,43,1.633468456,1e-110.727931
zeta CCM N=60,47,1.672097858,1e-113.670250
zeta CCM N=60,49,1.69019608,1e-115.245746
zeta CCM N=60,50,1.698970004,1e-115.756937
zeta CCM N=120,2,0.3010299957,1e-2.876204
zeta CCM N=120,3,0.4771212547,1e-7.255547
zeta CCM N=120,4,0.6020599913,1e-12.116530
zeta CCM N=120,5,0.6989700043,1e-17.010775
zeta CCM N=120,7,0.84509804,1e-27.115138
zeta CCM N=120,8,0.903089987,1e-32.349802
zeta CCM N=120,9,0.9542425094,1e-37.529581
zeta CCM N=120,11,1.041392685,1e-47.950507
zeta CCM N=120,13,1.113943352,1e-58.457923
zeta CCM N=120,16,1.204119983,1e-74.426781
zeta CCM N=120,17,1.230448921,1e-79.678725
zeta CCM N=120,19,1.278753601,1e-90.238456
zeta CCM N=120,23,1.361727836,1e-110.105910
zeta CCM N=120,25,1.397940009,1e-118.279087
