FLOATING eigenvalue fits at final N200/N260/N420; comparison steps still finishing.
D slope13-50 b c/(4pi)
-4 1.336480962 2.32736314 1.006525899
-3 1.794198138 2.174448395 1.005173256
5 1.078568681 1.945966803 1.016341086
8 0.6727913481 1.047725844 1.010509301
-7 0.7508723898 2.294528543 1.009631027
12 0.4441409156 0.9851881835 1.010831611
-20 0.2409982333 3.452178488 1.08321454
21 0.2427099465 1.066398684 0.998807656
13 0.4105464991 -0.2175226991 0.9697457567
-8 0.6542455657 2.077543236 1.007192339
