FLOATING exploratory fits; x50 at N160, NOT final convergence proxy.
D b c/(4pi) slope13-50 q*slope
-4 1.9301099 0.999635169 1.33336059 5.33344238
-3 1.41994016 0.995357516 1.78827158 5.36481475
5 1.57713729 1.00834397 1.07567158 5.37835789
8 0.874278198 1.00449208 0.671428942 5.37143153
-7 2.13558012 1.00480608 0.749623873 5.24736711
12 0.811518977 1.00179424 0.442776769 5.31332123
-20 3.41545017 1.0800291 0.240709738 4.81419475
21 1.02775812 0.995288808 0.24240643 5.09053504
13 -0.386035985 0.960245938 0.409222851 5.31989707
-8 1.92740449 1.00198374 0.653066247 5.22452998
