PASS x=13 N=20: true blocks positive by 1280-bit Arb Cholesky
PASS x=13 N=20: independent prime-atom sum agrees with zst cutoff split, error=3.556e-161
18 0 0 (2.995224154539911e-16, 12)
18 16 0 (1.0189789420465042e-08, 17)
18 17 0 (2.0769702153489926e-10, 15)
18 26 0 (3.6581461472268674e-07, 17)
18 60 0 (53.759322569484866, 17)
18 62 0 (1838.6791635437621, 17)
18 63 0 (1.4332605763513375e-13, 12)
18 64 0 (4.571717820773331e-10, 14)
18 65 0 (-3.935865698106287e-10, 16)
18 66 0 (-6.787166940534022e-10, 16)
18 67 0 (2.157497695290913e-05, 17)
18 72 0 (0.027890785296792446, 15)
18 73 0 (161.9128533855999, 17)
22 0 0 (6.7381706983877295e-15, 15)
22 16 0 (2.781337378752645e-12, 17)
22 17 0 (2.644931405811071e-13, 16)
22 26 0 (2.6630727333211556e-11, 18)
22 60 0 (0.009661681342954238, 17)
22 62 0 (0.2577522371808811, 17)
22 63 0 (9.69518554572581e-16, 14)
22 64 0 (1.463635771955427e-12, 16)
22 65 0 (-2.0139679346805117e-11, 16)
22 66 0 (-1.6231799444236972e-13, 16)
22 67 0 (3.87747728828223e-09, 17)
22 72 0 (5.059783321925362e-06, 15)
22 73 0 (0.02932949793305512, 17)
26 0 0 (2.7154114832121574e-14, 14)
26 16 0 (2.407535665272832e-13, 16)
26 17 0 (1.5451396917938127e-13, 16)
26 26 0 (3.731466260213961e-12, 16)
26 60 0 (0.002859754780994335, 17)
26 62 0 (0.07574200791005514, 17)
26 63 0 (-7.012204583549513e-14, 16)
26 64 0 (7.276688912612133e-14, 15)
26 65 0 (9.218933572445051e-12, 16)
26 66 0 (3.688036567513016e-12, 14)
26 67 0 (1.3659188845985176e-09, 17)
26 72 0 (1.486134233344311e-06, 15)
26 73 0 (0.008546855623988627, 17)
32 0 0 (3.0760890599448795e-17, 12)
32 16 0 (1.6997130358692847e-13, 16)
32 17 0 (1.1962410579918692e-13, 16)
32 26 0 (2.8888864597623676e-12, 16)
32 60 0 (0.002214010871046315, 17)
32 62 0 (0.05863916375705102, 17)
32 63 0 (2.758877365605656e-15, 15)
32 64 0 (1.320547833714187e-13, 15)
32 65 0 (7.1372620072463705e-12, 16)
32 66 0 (2.6171321113994966e-12, 14)
32 67 0 (1.0574890125436e-09, 17)
32 72 0 (1.1505592613483817e-06, 15)
32 73 0 (0.00666932224772415, 17)
41 0 0 (8.33945222964961e-19, 13)
41 16 0 (1.3587511390171644e-13, 16)
41 17 0 (8.720370595329671e-14, 16)
41 26 0 (2.1907309442403426e-12, 16)
41 60 0 (0.0016139719639808989, 17)
41 62 0 (0.04274683902090652, 17)
41 63 0 (2.7906312189087083e-15, 14)
41 64 0 (9.626543430910673e-14, 15)
41 65 0 (1.6189946453108622e-12, 15)
41 66 0 (1.9078397080482035e-12, 14)
41 67 0 (7.70889448166036e-10, 17)
41 72 0 (8.38735895563627e-07, 15)
41 73 0 (0.0048618095183484335, 17)
