zst: x = 13 (prime powers <= 13), N = 120, prec = 700 bits, L = [2.56494935746154 +/- 3.27e-15]
matrix build: 0.14s
minimal even eigenvalue eps_N = [3.483988199e-59 +/- 3.32e-69]  (Rump-certified, 0.59s)
inertia below 2 eps: even block 1 (want 1), odd block 0 (want 0)  [-1 = inconclusive]  (0.17s)
even-simple hypothesis: CERTIFIED
xi_0 = [9.045815359e+27 +/- 2.66e+17], xi_1 = [-7.943688054e+27 +/- 8.78e+16], xi_N = [0.0014355 +/- 3.47e-8]
positive secular roots: 120 certified of N = 120, 0 unresolved  ->  spectrum COMPLETE  (1.81s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
  1   14.13472514173469379045725198356247027078   2.44e-55
  2   21.02203963877155499262847959389690277733   4.50e-52
  3   25.01085758014568876321379099256282181866   4.16e-50
  4   30.42487612585951321031189753058409132018   3.65e-47
  5   32.93506158773918969066236896407490348881   7.11e-46
  6   37.58617815882567125721776348070533282141   1.06e-43
  7   40.91871901214749518739812691463325439573   1.00e-41
  8   43.32707328091499951949612216540680578265   1.19e-40
  9   48.00515088116715972794247274942751604173   4.12e-38
 10   49.77383247767230218191678467856372405812   3.98e-37
 11   52.97032147771446064414729660888099006932   5.50e-36
 12   56.44624769706339480436775947670612785696   3.04e-34
 13   59.34704400260235307965364867499224195900   2.29e-32
 14   60.83177852460980984425990182452408839158   8.46e-32
 15   65.11254404808160666087505425318852212865   4.82e-30
 16   67.07981052949417371447882889658827582702   6.61e-29
 17   69.54640171117397925292685752716253985534   6.08e-28
 18   72.06715767448190758252210797448842939015   4.66e-27
 19   75.70469069908393316832691731218689974475   5.50e-25
 20   77.14484006887480537268266839374768447833   3.54e-24
 21   79.33737502024936792276360262341803140911   9.75e-24
 22   82.91038085408603018316516887546394872330   3.31e-22
 23   84.73549298051705010573816765378775265570   2.86e-21
 24   87.42527461312522940658489098801114176443   5.32e-20
 25   88.80911120763446542381562270743307311764   1.33e-19
 26   92.49189927055848429832749331090340873811   2.07e-18
 27   94.65134404051988702602966675571537295507   5.94e-17
 28   95.87063422824530989241980779855490291924   1.34e-16
 29   98.83119421819369264230382110679662227363   4.09e-16
 30   101.3178510057313954409226153960741351809   4.21e-15
 31   103.7255380404784055369931616305900878350   6.61e-14
 32   105.4466230523264546630825005449276150597   3.60e-13
 33   107.1686111842769730686613830799934847921   5.66e-13
 34   111.0295355432099346519994286703081444199   4.03e-11
 35   111.8746591770971346234451804565468423776   1.04e-10
 36   114.3202209156376087446832966028652560435   1.85e-10
 37   116.2266803213499463052464117276353525136   4.92e-10
 38   118.7907828679166142689909535010133929552   1.94e-9
 39   121.3701250348437785234138787130415102684   3.24e-8
 40   122.9468294934900404516031831137841723768   2.00e-7
 41   124.2568187665163177884279830686408203011   2.12e-7
 42   127.5166844453221121786034158831936264856   5.66e-7
 43   129.5787096933239001882397837704800370711   5.49e-6
 44   131.0877019861798413745592264033780769276   1.35e-5
 45   133.4977902038650949151022587682926130951   5.30e-5
 46   134.7565785079417764035995627251887253480   6.88e-5
 47   138.1163431857468400280401054536012264232   0.000301
 48   139.7382114361616832228511282006924266314   0.00200
 49   141.1267143130908301831483488075357434855   0.00301
 50   143.1138902564498399710182389523877161284   0.00204
 51   146.0092647757139671290999238108295212200   0.00828
 52   147.4408596457706882810962153098074928541   0.0181
 53   150.1656903639781243452432956383043951680   0.112
 54   151.1372320630268262300299329951445742806   0.212
 55   153.0740193130263741414739871697083573820   0.0493
 56   156.2341174400500053712623428843382004108   0.121
 57   158.0984104109504473408950459347211443960   0.501
 58   159.8812070277851703746924850455602323971   1.03
 59   161.7429009061474539837276740995191807402   0.554
 60   163.5052316403186570584932505341724533290   0.475
 61   165.9414697589448330503506587937734130875   0.404
 62   167.8270790677776605852830917919529719176   0.643
 63   169.6776182293786386954224259932927087417   0.583
 64   173.4450449104046685523494243870278922603   3.53
 65   175.0790825003231782888893468610365340277   1.67
 66   177.0691604318791729002091579527512475051   2.31
 67   179.2605553848672194514263333053684828552   2.82
 68   181.6796777644704984375574444555426959555   3.30
 69   183.5897883143295570518944222683238484329   3.67
 70   185.4943545527075534070130615539161001253   3.29
 71   187.6084820087730311249118757377981320463   2.73
 72   189.7445659357664986188542047070422497092   4.15
 73   192.5322266640769209845296707370799577670   5.30
 74   195.0708082863174935748162037058013545752   5.65
 75   197.1787780532936291363844857801289762153   5.15
 76   198.8138960328536906087492806663256829346   5.73
 77   201.7456422806545731502566565430372020929   6.48
 78   204.0310877329031654622474214222893257678   7.15
 79   205.7751766785946871360577014250916917200   7.76
 80   208.4765221457898890079833401223892314176   7.21
 81   210.7706060999349031665057583025939827448   8.28
 82   213.0594537233241131011021265700923992239   8.87
 83   215.1187808634272330030883682031392615722   9.72
 84   217.1298205611432829969815778921853659704   9.22
 85   219.6401299143768948322898532189377448995   10.1
 86   221.4089728401744139052687209495581527848   9.72
 87   224.4632241419130793283350115140251576766   11.1
 88   227.1329466678192085580078575748691368234   12.6
 89   229.2197894073153519323541620329460797439   13.1
 90   231.5693428814225384852810386882025209599   12.5
 91   233.6506143404542751349082729916228534519   12.9
 92   236.8066803083809269491206290063673044196   15.4
 93   238.8545657865664125804790962654917543290   14.8
 94   240.9646705634630204693101289563918765202   16.0
 95   243.4022271799136732966135517798020085888   16.0
 96   245.8767897398167646180613146416154410835   16.5
 97   247.9227642670588128359334191997770424117   16.7
 98   250.2913415300250080356136491995778261284   18.3
 99   252.7944412573755750143771115536930435679   19.1
100   255.5173398247625413238550001146838197488   19.0
101   257.6363826508061630202029809270913758544   19.9
102   259.8875995472066790274977308431935748086   20.3
103   262.0787389032392620936268989375988228112   21.0
104   264.4389891726924338574328678779388917502   21.6
105   266.7083050814349868661167352055473591773   22.6
106   269.1026981984238888825176172019178263589   22.0
107   271.2904884907986008804741916510373386749   23.2
108   273.7122371141626275680688594284332088667   24.1
109   276.1832040759413009206322869235574367029   25.2
110   278.7425640968737233190448029138679393570   25.7
111   282.0858359313413576261109067289345113174   26.8
112   283.6140481836742113775877117404273294353   27.2
113   286.1636423889474338821232896477497075183   27.6
114   288.3659110869140150907977396646933719174   28.5
115   290.9332491873824569394341444185128680861   30.1
116   293.4770420218598826209707197585013194474   29.9
117   301.4411827450499949801462631553626160090   35.9
118   406.9180780955902159117947561163096754873   1.40e+2
119   674.1148082043628472698622738945204000716   4.06e+2
120   2132.674582893290000786608797734029528854   1.86e+3

total 3.14s
wall 3.146261640 s  maxrss 2012 KB
