zst: x = 20 (prime powers <= 20), N = 150, prec = 900 bits, L = [2.99573227355399 +/- 9.94e-16]
matrix build: 0.25s
minimal even eigenvalue eps_N = [1.755386955e-96 +/- 3.51e-106]  (Rump-certified, 1.51s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (0.64s)
xi_0 = [2.870407569e+46 +/- 1.52e+36], xi_1 = [-2.603598794e+46 +/- 3.34e+35], xi_N = [-0.0024251 +/- 4.25e-8]
positive secular roots: 150 certified of N = 150, 0 unresolved  ->  spectrum COMPLETE  (3.88s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
  1   14.13472514173469379045725198356247027078   1.51e-92
  2   21.02203963877155499262847959389690277733   3.65e-89
  3   25.01085758014568876321379099256282181866   4.13e-87
  4   30.42487612585951321031189753058409132018   5.08e-84
  5   32.93506158773918969066236896407490348881   1.18e-82
  6   37.58617815882567125721776348070533282141   2.55e-80
  7   40.91871901214749518739812691463325439573   3.24e-78
  8   43.32707328091499951949612216540680578265   4.82e-77
  9   48.00515088116715972794247274942751604169   2.72e-74
 10   49.77383247767230218191678467856372405772   3.20e-73
 11   52.97032147771446064414729660888099006383   6.43e-72
 12   56.44624769706339480436775947670612755278   5.51e-70
 13   59.34704400260235307965364867499221903110   6.13e-68
 14   60.83177852460980984425990182452400380291   2.78e-67
 15   65.11254404808160666087505425318370502935   2.97e-65
 16   67.07981052949417371447882889652221677011   5.54e-64
 17   69.54640171117397925292685752655473844301   7.59e-63
 18   72.06715767448190758252210796982616839048   8.90e-62
 19   75.70469069908393316832691676203034592281   2.00e-59
 20   77.14484006887480537268266485630463701580   1.68e-58
 21   79.33737502024936792276359287711622819061   6.99e-58
 22   82.91038085408603018316483749477060949751   4.82e-56
 23   84.73549298051705010573531120682774141711   6.06e-55
 24   87.42527461312522940653166785091921325217   2.00e-53
 25   88.80911120763446542368234807950937839544   6.80e-53
 26   92.49189927055848429625972524181068487872   2.44e-51
 27   94.65134404051988696659792581520815393773   1.17e-49
 28   95.87063422824530975874102921924678169526   3.54e-49
 29   98.83119421819369223332442013862232782066   2.28e-48
 30   101.3178510057313912287854479402923089063   4.48e-47
 31   103.7255380404783394163984081086952808345   1.35e-45
 32   105.4466230523260944936708324141118089973   1.18e-44
 33   107.1686111842764075151233519630861912135   3.03e-44
 34   111.0295355431696745246564503099443504153   6.75e-42
 35   111.8746591769926370856120787167705949603   2.27e-41
 36   114.3202209154527127658909372761910798099   8.61e-41
 37   116.2266803208575543821608043120647551273   4.24e-40
 38   118.7907828659762173229791397026998243473   3.92e-39
 39   121.3701250024206459189455329704999227232   1.60e-37
 40   122.9468292935525882008174603307700164979   1.73e-36
 41   124.2568185543457671847320079661299244445   2.95e-36
 42   127.5166838795964951242793237669060762950   2.69e-35
 43   129.5787041999560509857680339061799741948   5.86e-34
 44   131.0876885309326567235663724615013516993   2.64e-33
 45   133.4977372029975864501304920426406360593   2.84e-32
 46   134.7565097533738713313260641571697994455   6.33e-32
 47   138.1160420545334432001915551902836956262   1.25e-30
 48   139.7362089521213889504500465234001871788   1.77e-29
 49   141.1237074040211237619403538185272085820   5.19e-29
 50   143.1118458076206327394051238690092387013   9.53e-29
 51   146.0009824867655185474025075982258311397   1.80e-27
 52   147.4227653425596020495211850191310718535   8.70e-27
 53   150.0535204207848803514324675160134936055   2.79e-25
 54   150.9252576122414667618525253135172571616   6.35e-25
 55   153.0246938111988961982565448180648652312   5.63e-25
 56   156.1129092942378675697502047834089448677   1.55e-23
 57   157.5975918175940598875306775041295808334   1.74e-22
 58   158.8499881714204987241753317807893248253   3.37e-22
 59   161.1889641375960275194381975777470526687   8.53e-22
 60   163.0307096871819872433140407342756039367   3.00e-21
 61   165.5370691879004188300733047047891203061   3.44e-20
 62   167.1844399781745134412065123407262166960   2.49e-19
 63   169.0945154155688214924311818974253347124   2.93e-18
 64   169.9119764794116989700662361701336700383   3.37e-18
 65   173.4115365195915529764610842747819272390   1.66e-17
 66   174.7541915233657259152987940415160220663   1.02e-16
 67   176.4414342977104191761437127830622242256   2.87e-16
 68   178.3774077760999783716678663643093431129   1.09e-15
 69   179.9164840202569983270490104225336009266   2.19e-15
 70   182.2070784843664675768195212480636744936   5.66e-15
 71   184.8744678483879343230593597376621647493   4.26e-13
 72   185.5987836777085105404150508468636338791   1.04e-12
 73   187.2289225835024621585344064890749005491   6.10e-13
 74   189.4161586560177959232501165593126437705   8.59e-13
 75   192.0266563607301180999823317939175196807   1.63e-11
 76   193.0797266038894866874117806638112240851   4.38e-11
 77   195.2653966796558062733320030993826733873   1.27e-10
 78   196.8764818415587476237404362932553160634   6.00e-10
 79   198.0153096768355715092847577488456705459   5.84e-10
 80   201.2647519473993596168370852592626933195   3.70e-9
 81   202.4935945317537733499017120105696317298   1.76e-8
 82   204.1896718580149618399563022556119993965   5.49e-8
 83   205.3946972624661382957651817342962181519   6.03e-8
 84   207.9062589825434960755315509484269737664   9.47e-8
 85   209.5765100001203197935236769743414976180   2.83e-7
 86   211.6908639407310664603381291182450188094   1.35e-6
 87   213.3479273274316049906487428095836433424   7.97e-6
 88   214.5470577721232753094068245758135550799   1.30e-5
 89   216.1695457391222900381542631234850862317   7.23e-6
 90   219.0676288903764772067785611917854058078   3.25e-5
 91   220.7154550643435515703998859362885453950   0.000536
 92   221.4313177087752399587172215474452693159   0.000612
 93   224.0076847329029296633066625194623915956   0.000684
 94   224.9841827356149890110723060420809876115   0.000858
 95   227.4221399820640345084907935483906721635   0.000696
 96   229.3400683059452309425635236645260079492   0.00266
 97   231.2816773006091988842384581365338793837   0.0315
 98   232.0322524925195605602779400720866981721   0.0450
 99   233.7021846255411047865990153018367883776   0.00878
100   236.5455444457158317858478980009636353506   0.0213
101   237.8249416899551233676748503329570758785   0.0551
102   239.6401861513270550070333566080250941091   0.0847
103   241.1686902933285988612323892697899790803   0.120
104   242.9777572798534116833343897721086200168   0.154
105   244.1773634953879571612350858994905059124   0.106
106   247.3133056402231154451884920101246086502   0.176
107   248.7793903117007722798450453743873084460   0.677
108   250.4704882622896320169883828000732713856   0.897
109   252.1921829585694957377794553593145142410   1.18
110   253.5241638887453263026900006412292049528   0.454
111   255.7399408471601970080870233355327711732   0.434
112   257.3896569572043351083089313069216186232   1.01
113   259.1250956557689526480175496264244083463   0.515
114   260.6319997725276009085419361107971406929   0.758
115   263.5632205328666555255658586397850593717   2.76
116   265.6986378533749198911285064864109416749   2.12
117   267.2322541976028230780585828095439383287   1.67
118   268.9406767216736269476998517372889593211   2.33
119   270.6846125410127255334495487530494490515   2.76
120   272.4097354042942951176814523379563310517   2.44
121   273.9522985254572563986295366064775888305   2.46
122   276.0598773954869521146447753485480376984   2.60
123   278.1555589355677852852068994707897054185   2.57
124   279.2635832058979122537356030813778331937   2.81
125   282.6806556898375277103407812779400787180   4.43
126   284.3302781696981922511487402659593614683   5.10
127   286.0437362431779686313189947884152091396   3.58
128   287.6146870367116896784413538220386230785   4.40
129   289.5206868622065014922861864259448340107   4.68
130   291.8753793659991901275186887201872629017   5.21
131   293.7188250793254894902693373182285823868   5.81
132   295.3504469624527645202422194171430965053   5.77
133   297.9680669245380445701678077064555825869   6.12
134   299.9059675504106566063202048043933505539   6.35
135   301.9774319115526632518975932969388502154   7.01
136   303.4761943027490217770078611470361566496   7.90
137   305.3638889694505463878535965519021526198   7.38
138   307.1802096569804199927776540041008868006   7.34
139   310.2653332442917663783888445214625768523   8.62
140   311.8707436715519499856532644980257300389   9.17
141   313.8376922698036204905499922435054176522   8.97
142   316.4048087048507877071914046060914712994   10.7
143   346.8842947871734450748249812954490796208   39.7
144   388.7074475095614247021341925071245122680   78.6
145   454.5355098739109545791354922548642854937   1.43e+2
146   545.4086246354614337385843961135643633897   2.33e+2
147   694.6294722506662739689979988706747977637   3.81e+2
148   969.3748394231023099228922973350027793005   6.54e+2
149   1625.686101482735910683851668137588610940   1.31e+3
150   5163.306227415945791863017450804676546606   4.84e+3

total 6.84s
wall 6.857613747 s  maxrss 2008 KB
