zst: x = 30 (prime powers <= 30), N = 450, prec = 1300 bits, L = [3.40119738166216 +/- 4.63e-15]
matrix build: 1.57s
minimal even eigenvalue eps_N = [2.125483712e-150 +/- 1.92e-160]  (Rump-certified, 34.67s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (23.58s)
xi_0 = [1.983370450e+73 +/- 1.69e+63], xi_1 = [-1.836782926e+73 +/- 1.74e+62], xi_N = [2.3746e-5 +/- 2.89e-10]
positive secular roots: 450 certified of N = 450, 0 unresolved  ->  spectrum COMPLETE  (657.23s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
  1   14.13472514173469379045725198356247027078   2.08e-146
  2   21.02203963877155499262847959389690277733   5.91e-143
  3   25.01085758014568876321379099256282181866   7.59e-141
  4   30.42487612585951321031189753058409132018   1.14e-137
  5   32.93506158773918969066236896407490348881   2.96e-136
  6   37.58617815882567125721776348070533282141   7.98e-134
  7   40.91871901214749518739812691463325439573   1.21e-131
  8   43.32707328091499951949612216540680578265   2.08e-130
  9   48.00515088116715972794247274942751604169   1.57e-127
 10   49.77383247767230218191678467856372405772   2.07e-126
 11   52.97032147771446064414729660888099006383   5.23e-125
 12   56.44624769706339480436775947670612755278   5.82e-123
 13   59.34704400260235307965364867499221903110   8.16e-121
 14   60.83177852460980984425990182452400380291   4.19e-120
 15   65.11254404808160666087505425318370502935   6.50e-118
 16   67.07981052949417371447882889652221677011   1.45e-116
 17   69.54640171117397925292685752655473844301   2.51e-115
 18   72.06715767448190758252210796982616839048   3.78e-114
 19   75.70469069908393316832691676203034592281   1.23e-111
 20   77.14484006887480537268266485630463701580   1.21e-110
 21   79.33737502024936792276359287711622819061   6.41e-110
 22   82.91038085408603018316483749477060949751   6.65e-108
 23   84.73549298051705010573531120682774141711   1.04e-106
 24   87.42527461312522940653166785091921325217   4.75e-105
 25   88.80911120763446542368234807950937839544   1.92e-104
 26   92.49189927055848429625972524181068487872   1.11e-102
 27   94.65134404051988696659792581520815393773   7.08e-101
 28   95.87063422824530975874102921924678169526   2.53e-100
 29   98.83119421819369223332442013862232782066   2.46e-99
 30   101.3178510057313912287854479402923089063   6.92e-98
 31   103.7255380404783394163984081086952808345   2.97e-96
 32   105.4466230523260944936708324141118089973   3.38e-95
 33   107.1686111842764075151233519630861912135   1.13e-94
 34   111.0295355431696745246564503099443504153   4.64e-92
 35   111.8746591769926370856120787167705949603   1.79e-91
 36   114.3202209154527127658909372761910798099   1.02e-90
 37   116.2266803208575543821608043120647551273   6.94e-90
