zst: x = 50 (prime powers <= 50), N = 500, prec = 2100 bits, L = [3.91202300542815 +/- 3.95e-15]
matrix build: 4.29s
minimal even eigenvalue eps_N = [2.161475058e-258 +/- 2.62e-268]  (Rump-certified, 131.45s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (93.12s)
xi_0 = [1.388132192e+127 +/- 4.89e+117], xi_1 = [-1.309002223e+127 +/- 6.40e+116], xi_N = [0.00030039 +/- 1.08e-9]
positive secular roots: 500 certified of N = 500, 0 unresolved  ->  spectrum COMPLETE  (223.47s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
  1   14.13472514173469379045725198356247027078   2.88e-249
  2   21.02203963877155499262847959389690277733   5.88e-248
  3   25.01085758014568876321379099256282181866   2.25e-246
  4   30.42487612585951321031189753058409132018   3.45e-245
  5   32.93506158773918969066236896407490348881   9.80e-244
  6   37.58617815882567125721776348070533282141   1.80e-241
  7   40.91871901214749518739812691463325439573   3.03e-239
  8   43.32707328091499951949612216540680578265   5.76e-238
  9   48.00515088116715972794247274942751604169   5.48e-235
 10   49.77383247767230218191678467856372405772   7.96e-234
 11   52.97032147771446064414729660888099006383   2.40e-232
 12   56.44624769706339480436775947670612755278   3.28e-230
 13   59.34704400260235307965364867499221903110   5.51e-228
 14   60.83177852460980984425990182452400380291   3.11e-227
 15   65.11254404808160666087505425318370502935   6.48e-225
 16   67.07981052949417371447882889652221677011   1.66e-223
 17   69.54640171117397925292685752655473844301   3.46e-222
 18   72.06715767448190758252210796982616839048   6.31e-221
 19   75.70469069908393316832691676203034592281   2.76e-218
 20   77.14484006887480537268266485630463701580   3.05e-217
 21   79.33737502024936792276359287711622819061   1.95e-216
 22   82.91038085408603018316483749477060949751   2.77e-214
 23   84.73549298051705010573531120682774141711   5.11e-213
 24   87.42527461312522940653166785091921325217   3.02e-211
 25   88.80911120763446542368234807950937839544   1.39e-210
 26   92.49189927055848429625972524181068487872   1.16e-208
 27   94.65134404051988696659792581520815393773   9.25e-207
 28   95.87063422824530975874102921924678169526   3.75e-206
 29   98.83119421819369223332442013862232782066   5.00e-205
 30   101.3178510057313912287854479402923089063   1.85e-203
 31   103.7255380404783394163984081086952808345   1.04e-201
 32   105.4466230523260944936708324141118089973   1.45e-200
 33   107.1686111842764075151233519630861912135   5.92e-200
 34   111.0295355431696745246564503099443504153   3.88e-197
 35   111.8746591769926370856120787167705949603   1.66e-196
 36   114.3202209154527127658909372761910798099   1.29e-195
 37   116.2266803208575543821608043120647551273   1.12e-194
 38   118.7907828659762173229791397026998243473   2.25e-193
