zst: x = 60 (prime powers <= 60), N = 600, prec = 2500 bits, L = [4.09434456222210 +/- 6.85e-16]
matrix build: 7.37s
minimal even eigenvalue eps_N = [1.540352972e-312 +/- 2.56e-322]  (Rump-certified, 156.54s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (121.00s)
xi_0 = [1.437772675e+154 +/- 1.61e+144], xi_1 = [-1.362558271e+154 +/- 3.48e+144], xi_N = [0.0012120 +/- 4.45e-8]
positive secular roots: 358 certified of N = 600, 242 unresolved  ->  spectrum incomplete  (5406.37s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
  1   14.13472514173469379045725198356247027078   1.99e-288
  2   21.02203963877155499262847959389690277733   1.16e-286
  3   25.01085758014568876321379099256282181866   1.25e-285
  4   30.42487612585951321031189753058409132018   3.12e-284
  5   32.93506158773918969066236896407490348881   3.07e-283
  6   37.58617815882567125721776348070533282141   5.29e-282
  7   40.91871901214749518739812691463325439573   5.93e-281
  8   43.32707328091499951949612216540680578265   1.96e-280
  9   48.00515088116715972794247274942751604169   6.82e-279
 10   49.77383247767230218191678467856372405772   3.26e-278
 11   52.97032147771446064414729660888099006383   1.81e-277
 12   56.44624769706339480436775947670612755278   1.33e-276
 13   59.34704400260235307965364867499221903110   2.33e-275
 14   60.83177852460980984425990182452400380291   5.85e-275
 15   65.11254404808160666087505425318370502935   9.11e-274
 16   67.07981052949417371447882889652221677011   3.73e-273
 17   69.54640171117397925292685752655473844301   1.83e-272
 18   72.06715767448190758252210796982616839048   1.13e-272
 19   75.70469069908393316832691676203034592281   1.75e-270
 20   77.14484006887480537268266485630463701580   5.43e-270
 21   79.33737502024936792276359287711622819061   9.35e-119
 22   82.91038085408603018316483749477060949751   7.88e-119
 23   84.73549298051705010573531120682774141711   6.33e-119
 24   87.42527461312522940653166785091921325217   4.97e-119
 25   88.80911120763446542368234807950937839544   8.32e-119
 26   92.49189927055848429625972524181068487872   6.99e-119
 27   94.65134404051988696659792581520815393773   8.59e-119
 28   95.87063422824530975874102921924678169526   7.70e-119
 29   98.83119421819369223332442013862232782066   8.07e-119
 30   101.3178510057313912287854479402923089063   5.88e-119
 31   103.7255380404783394163984081086952808345   9.42e-119
 32   105.4466230523260944936708324141118089973   6.00e-119
 33   107.1686111842764075151233519630861912135   6.75e-119
 34   111.0295355431696745246564503099443504153   8.98e-119
 35   111.8746591769926370856120787167705949603   5.24e-119
 36   114.3202209154527127658909372761910798099   8.33e-119
 37   116.2266803208575543821608043120647551273   6.95e-119
 38   118.7907828659762173229791397026998243473   8.95e-119
 39   121.3701250024206459189455329704999227230   6.52e-119
 40   122.9468292935525882008174603307700164962   5.95e-119
 41   124.2568185543457671847320079661299244416   6.24e-119
 42   127.5166838795964951242793237669060762681   7.29e-119
 43   129.5787041999560509857680339061799736086   1.00e-118
 44   131.0876885309326567235663724615013490592   1.05e-118
 45   133.4977372029975864501304920426406076650   1.85e-118
 46   134.7565097533738713313260641571697361784   1.68e-118
 47   138.1160420545334432001915551902824478598   1.38e-118
 48   139.7362089521213889504500465233824608468   1.57e-118
 49   141.1237074040211237619403538184753550903   1.14e-118
 50   143.1118458076206327394051238689139299662   1.58e-118
 51   146.0009824867655185474025075964246824290   1.89e-118
 52   147.4227653425596020495211850104315061688   1.63e-118
 53   150.0535204207848803514324672369593706230   1.18e-118
 54   150.9252576122414667618525246783056276024   1.81e-118
 55   153.0246938111988961982565442551854465086   1.31e-118
 56   156.1129092942378675697501893101691947465   1.76e-118
 57   157.5975918175940598875305031584987657307   1.90e-118
 58   158.8499881714204987241749947755402714143   1.97e-118
 59   161.1889641375960275194373441293695543649   1.35e-118
 60   163.0307096871819872433110390006879948970   1.73e-118
 61   165.5370691879004188300389193548747973284   1.50e-118
 62   167.1844399781745134409577562462103787365   1.65e-118
 63   169.0945154155688214895058711814318347967   1.94e-118
 64   169.9119764794116989666998435958217922884   1.19e-118
 65   173.4115365195915529598461186493455952542   1.61e-118
 66   174.7541915233657258133787624558669179388   1.56e-118
 67   176.4414342977104188888926410578609335281   1.32e-118
 68   178.3774077760999772858309354141844261831   1.88e-118
 69   179.9164840202569961393400366120512374537   1.29e-118
 70   182.2070784843664619154070372269877986908   1.45e-118
 71   184.8744678483875088009606466172342584134   1.62e-118
 72   185.5987836777074714665277042683926466129   1.52e-118
 73   187.2289225835018519916415405861312430168   1.63e-118
 74   189.4161586560169370848522890998453244914   1.25e-118
 75   192.0266563607137865472836314255834301058   1.37e-118
 76   193.0797266038457040474022057943760546040   1.23e-118
 77   195.2653966795292353214631878148622509269   1.92e-118
 78   196.8764818409583169486222639146962077357   1.37e-118
 79   198.0153096762519124249199187022088671551   1.41e-118
 80   201.2647519437037887330161334275481732224   1.47e-118
 81   202.4935945141405342776866606378643158210   1.42e-118
 82   204.1896718031045543307164383863136851365   1.57e-118
 83   205.3946972021632860252123793906930909237   1.68e-118
 84   207.9062588878062098615019679077536442687   1.19e-118
 85   209.5765097168562598528356442898867521754   1.90e-118
 86   211.6908625953653075639074867307192942534   1.43e-118
 87   213.3479193597126661906391220210726088219   1.50e-118
 88   214.5470447834914232229442010725906910456   1.84e-118
 89   216.1695385082637002658695633544981285755   1.50e-118
 90   219.0675963490213789856772565904372412451   1.07e-118
 91   220.7149188393140033691155926339063396568   1.88e-118
 92   221.4307055546933387320974751192760779502   1.64e-118
 93   224.0070002546043352117288755285048953561   1.25e-118
 94   224.9833246695822875037825236805286567721   1.63e-118
 95   227.4214442796792913104614361606596399640   1.12e-118
 96   229.3374133055253481077600833060557400828   1.40e-118
 97   231.2501887004991647738061867700103726067   1.94e-118
 98   231.9872352531802486037716685391978622054   1.30e-118
 99   233.6934041789083006407044947325697881795   1.00e-118
100   236.5242296658162058024755079556629786895   1.63e-118
101   237.7698204809252040032366259263871077942   1.73e-118
102   239.5554775733276287402689320343344924817   1.85e-118
103   241.0491577962165864128379214103356705496   1.86e-118
104   242.8232719342226000168264744588785499539   1.95e-118
105   244.0708984970781582368165279898445013471   1.81e-118
106   247.1369900748974994675509681792081322679   1.12e-118
107   248.1019900601484592567621420846569973558   1.93e-118
108   249.5736896447072091923297941887399703426   1.02e-118
109   251.0149477950160011429541551037080481523   1.07e-118
110   253.0699867479994771945990137856180909301   1.50e-118
111   255.3062564549140227530864917940014231579   1.39e-118
112   256.3807136944344777893583823397295308712   3.34e-118
113   258.6104394915313682089830586447591316322   2.17e-118
114   259.8744069896780003506728446138765926662   2.81e-118
115   260.8050845045968701859312334724645480349   3.45e-118
116   263.5738939048701322330815881310233031703   2.20e-118
117   265.5578518388763202924773089641849146410   3.60e-118
118   266.6149737815010724957201129738679118066   3.50e-118
119   267.9219150828240594403789671721856183743   3.36e-118
120   269.9704490239976025946935053188984796629   2.06e-118
121   271.4940556416449990181794167575228506935   3.17e-118
122   273.4596091884032870457142502988017729228   2.46e-118
123   275.5874926493438412487407026193777848264   2.42e-118
124   276.4520495031329386798873436383992419481   2.45e-118
125   278.2507435298419544927482767113162589261   3.74e-118
126   279.2292509277451892284098804519553592835   2.57e-118
127   282.4651147650520962330272011865010242055   3.20e-118
128   283.2111857332338674204938379433289382985   2.51e-118
129   284.8359639809047241331576339226962164631   3.12e-118
130   286.6674453630028842928476241464149393439   2.62e-118
131   287.9119205014221871552541202718675103855   2.99e-118
132   289.5798549292188341527380235693523438897   2.10e-118
133   291.8462913290673958355130544246385118828   2.45e-118
134   293.5584341393562853567766971060350773438   3.58e-118
135   294.9653696192655421750664486390096713431   3.92e-118
136   295.5732548789582923884608314587786106373   2.02e-118
137   297.9792770619434152099296829576828341811   3.90e-118
138   299.8403260537213129600270525252937692542   2.15e-118
139   301.6493254621941836234701002084179820811   2.68e-118
140   302.6967495896069170517514770953529227629   2.13e-118
141   304.8643713408572977001487499031444995926   3.06e-118
142   305.7289126020368092892228212616609672570   3.36e-118
143   307.2194961281700547894100333999345022674   2.02e-118
144   310.1094631467018988047862197679989458348   3.20e-118
145   311.1651415303560032709426708003548198992   3.17e-118
146   312.4278011806008919804859830928742637629   3.16e-118
147   313.9852857311589229790489657545763285680   2.30e-118
148   315.4756160894757338685960781439537653358   2.85e-118
149   317.7348059423701803956454942049681140152   2.24e-118
150   318.8531042563165979066891845477491822030   2.02e-118
151   321.1601343091135782919214714174306940298   3.44e-118
152   322.1445586724829322988374450059885492604   2.45e-118
153   323.4669695575120505062120304147951633568   3.07e-118
154   324.8628660517396132649800869954004099198   2.87e-118
155   327.4439012619054573434692638163207033567   2.45e-118
156   329.0330716804809340336147275768039462037   2.37e-118
157   329.9532397282338663438921221886314660583   3.29e-118
158   331.4744675826634243756617538663448279232   3.49e-118
159   333.6453785248698505849616830808794253809   2.60e-118
160   334.2113548332443832324034079591924931542   3.86e-118
161   336.8418504283906847946547629194118860072   2.16e-118
162   338.3399928508066118862573260871632033909   2.66e-118
163   339.8582167253635401923265509308739971832   3.92e-118
164   341.0422611110465604825977845985369171873   3.33e-118
165   342.0548775103635854514038250940980567152   3.70e-118
166   344.6617029402523370441811880981991857827   1.99e-118
167   346.3478705660099473959364598161519338982   3.28e-118
168   347.2726775844204844757970948880699796761   2.33e-118
169   349.3162608706961441231555557339937213361   3.33e-118
170   350.4084193491920991876719532344872344696   3.92e-118
171   351.8786490253592804367133930765969327299   2.18e-118
172   353.4889004887188067836037686094353184133   3.04e-118
173   356.0175749772649473179603619607664426757   3.26e-118
174   357.1513022520396248096029282322903566118   3.64e-118
175   357.9526851016322737551289189827774428235   3.93e-118
176   359.7437549531144487992919859769902954054   4.40e-118
177   361.2893616958046503902913112277152281909   7.47e-118
178   363.3313305789738347473344495666147312700   3.91e-117
179   364.7360241140889937162621021269404000172   2.81e-116
180   366.2127102883313168610771451968065741791   1.39e-115
181   367.9935754817403033261832980442078463990   2.21e-114
182   368.9684380957343898915769012998919106382   8.36e-114
183   370.0509192121060003396511630612666114225   6.61e-114
184   373.0619283721128384491193964312853919029   1.94e-112
185   373.8648739109085697447563627336594609497   7.88e-112
186   375.8259127667393341079077141466930257529   2.09e-110
187   376.3240922306680521171908196124275796130   3.14e-110
188   378.4366802499654797240909659132035205563   3.01e-110
189   379.8729753465323466510240596904462715681   1.24e-109
190   381.4844686171865249196625224236573953658   4.39e-109
191   383.4435294495364877043457554807225369042   5.57e-108
192   384.9561168148636871037515842087935133903   1.13e-106
193   385.8613008459742291805619593598032576156   3.31e-106
194   387.2228902223879809759485147381098140910   4.03e-106
195   388.8461283542322546008094203003735580574   5.92e-106
196   391.4560835636380457705782281225541347722   4.37e-104
197   392.2450833395190967490151841709928805624   2.12e-103
198   393.4277438444340259366989529201288699205   2.75e-103
199   395.5828700109937209708777113231416421361   3.59e-102
200   396.3818542225921869319994544917305290638   8.94e-102
201   397.9187362096142433869811797107986838045   8.67e-102
202   399.9851198761948995059172998682896457706   4.47e-101
203   401.8392286005332165399113043782872307264   1.34e-99
204   402.8619177638861141763154430960396346969   7.20e-99
205   404.2364418002080047402277995635276901961   3.00e-98
206   405.1343874599099272574862680254167361628   3.26e-98
207   407.5814603868961820763090011813905376405   1.02e-97
208   408.9472455023511125196340397641579017956   6.82e-97
209   410.5138691933666386467691052848671877897   4.18e-96
210   411.9722678042787506646402985072729174075   2.67e-95
211   413.2627360701850468862570593177290908706   9.48e-95
212   415.0188097551551156463192114628172215099   2.05e-93
213   415.4552149962945988571287824866698249317   2.24e-93
214   418.3877057895347792260457230995547988242   4.10e-93
215   419.8613648181523236878523091383828173933   1.35e-91
216   420.6438276250417862679746529850004807025   3.55e-91
217   422.0767100588267596298406654493813752742   4.31e-91
218   423.7165796274818186105628747317660741893   1.28e-90
219   425.0698824944613476143746926491564313421   2.94e-90
220   427.2088250840745805281429338857115983852   4.14e-89
221   428.1279140766166821103050684863181593093   1.15e-88
222   430.3287454309386366699269815418548626842   1.90e-87
223   431.3013069307035920195051219275556810535   1.37e-86
224   432.1386417345885683062532491089527169051   1.46e-86
225   433.8892184809272253029466110507929024489   8.65e-87
226   436.1610064326469840718015182623780379899   9.94e-86
227   437.5816981676685811540131672333254594988   1.56e-84
228   438.6217386562721962909150101371703956298   5.59e-84
229   439.9184422143706564102217900270240392808   9.16e-84
230   441.6831992011890238742044364991679930714   3.73e-83
231   442.9045463026094494697231024127662020661   1.12e-82
232   444.3193362775591559203057435397906209456   1.69e-82
233   446.8606226964295225288608751807467431377   1.30e-80
234   447.4417041944932900655269253036091597305   3.42e-80
235   449.1485456850233047530235031347046500033   1.00e-79
236   450.1269457803135240300457625287817055144   2.29e-79
237   451.4033084453887954621132246313588112042   1.68e-79
238   453.9867378066779160383668102940048583722   2.32e-78
239   454.9746837686167888753094389512709459270   1.22e-77
240   456.3284266892460512244998300630554834985   3.03e-77
241   457.9038930641029715746993291717876450449   1.20e-76
242   459.5134152811060117540099438020414053836   2.12e-75
243   460.0879444221758412553302554282065462455   2.74e-75
244   462.0653672748825309638309211456184620432   1.34e-75
245   464.0572869105482845762460847836666759158   1.26e-74
246   465.6715392113710945529666457439955288515   3.58e-73
247   466.5702869308262551673921259522644120910   1.75e-72
248   467.4390462102616388566450013844468423202   1.45e-72
249   469.5360045591120321918190688291231656780   2.11e-72
250   470.7736554781016476901188794544363535409   5.50e-72
251   472.7991746619088166582979926817700031970   5.21e-71
252   473.8352323451396870738054680233830436907   1.78e-70
253   475.6003393693757856054288199236799250624   1.05e-69
254   476.7690152374845208528486891954683119209   4.73e-69
255   478.0752637666709691998727274049095143199   1.62e-68
256   478.9421815346348265383171017670384840219   1.36e-68
257   481.8303393762865613666813762850975980902   1.32e-67
258   482.8347827909823973065569966763216464687   1.11e-66
259   483.8514272124825375601882210846681276889   2.07e-66
260   485.5391481293560069300254236580821172608   7.03e-66
261   486.5287182616512443523675262699414994362   1.21e-65
262   488.3805670900174485271114306648119221918   2.77e-65
263   489.6617615779561315127809041749771049742   7.40e-65
264   491.3988215936630065692133310085391280176   2.58e-64
265   493.3144415817853009363606040432270822347   1.19e-62
266   493.9579978053694649095830912868851519854   3.04e-62
267   495.3588288221312774968341327371705982626   3.73e-62
268   496.4296962157591034839189128160730204362   3.53e-62
269   498.5807824296865420166750829124879051616   6.86e-62
270   500.3090849416904955393093907251714464727   9.55e-61
271   501.6044469651454776633325457628511745334   1.31e-59
272   502.2762703271182331753995073338853425487   1.67e-59
273   504.4997733134277371837912622283613891551   5.64e-59
274   505.4152317422444420295521661092828553381   1.94e-58
275   506.4641527095235312215260747806452307393   1.40e-58
276   508.8007003364678208094696725081919993377   3.99e-58
