# rtp1_a1 axisN (lane A1.2): the resolution axis at fixed window
# author claude:opus; driver zst/tools/rtp1_a1.c on libzst (FLINT 3.0.1)
# fixed: x = lambda^2 = 50, window L = log x = 3.91202300542815, prime powers k <= 50 enter, prec = 4200 bits
# varied: N = 1..520 (window matrix on |n| <= N is the leading block of the one on |n| <= N+1)
# reference: benchmark saturation N ~ 7.5 x = 375.0
# cross-lane reference (Conventions): zst (a_n, b_n) at x = 13, prime powers <= 13
#   n = 0  a_n = 0.0453328442159587070934518363426  b_n = 0
#   n = 1  a_n = 0.0465118895436779793116060710601  b_n = 0.0457203442394000540357853654912
#   n = 2  a_n = 0.0506210483629745920069696920272  b_n = 0.0939818448885741857990582354453
#   n = 3  a_n = 0.0603025794859511884689695760125  b_n = 0.148752677000255263998143181043
# ball LDL^T of even block (size 522): all pivots certified positive; odd block (size 521): all pivots certified positive
#   (so the window form is certified positive definite on |n| <= N for every N <= 521)
#   worst relative accuracy of the pivots: 247 bits (of 4200; error control of every column below)
#
# Columns (row N = the bordering |n| <= N -> |n| <= N+1, new modes +-(N+1)):
#   s_e, s_o   Schur complements of the new even / odd basis vector (LDL pivots)
#   dI         Delta I_N = log(d_e/s_e) + log(d_o/s_o), d = new diagonal entries (nats)
#   dI_e       even part of dI
#   logdet     log det of the window matrix on |n| <= N (size 2N+1)
#   r_e, r_o   half-widths of the admissible interval of b_{N+1} given a_{N+1} and |n| <= N (Loewner-structured)
#   r_j        half-width of the intersection of the two intervals; tau_j = truth position in it (-1..1)
#   dIs        log-det gain of the truth over the structured MaxEnt point (joint maximiser)
#   b          b_{N+1} (for scale)
    N          s_e          s_o           dI         dI_e         logdet         r_e         r_o         r_j     tau_j         dIs            b
    1    1.3179e-9    1.3080e-7      25.7435      17.2871     -26.671720    1.716e-5   0.0005297    1.716e-5      1.00       16.44    0.0418052
    2   3.1711e-12   2.1131e-10      39.1578      23.3569     -62.968507    9.734e-8    3.573e-6    9.734e-8      1.00       19.05    0.0639239
    3   4.2063e-14   1.3897e-12      49.3110      27.7450     -111.72313   5.950e-10    1.991e-8   5.950e-10      1.00       18.50    0.0878300
    4   1.5835e-15   6.1414e-14      56.5144      31.1314     -169.82468   1.746e-11   3.339e-10   1.746e-11      1.00       18.07     0.114927
    5   4.6503e-17   1.3090e-15      64.8348      34.8465     -234.32496   1.461e-12   3.534e-11   1.461e-12      1.00       20.71     0.148298
    6   1.5995e-18   6.6231e-17      72.5490      38.6018     -306.20147   1.010e-13   1.971e-12   1.010e-13      1.00       21.94     0.197258
    7   8.8134e-19   1.2204e-17      77.6175      40.2903     -384.43168   1.403e-14   4.245e-13   1.403e-14      1.00       20.72     0.315724
    8   2.1640e-18   3.3862e-17      81.0780      41.8978     -464.94928   8.696e-15   1.028e-13   8.696e-15     -1.00       14.95    -0.511134
    9   1.1214e-20   2.4413e-19      84.6972      43.9586     -543.54809   1.911e-16   2.260e-15   1.911e-16      1.00       19.60    0.0899672
   10   6.8247e-22   1.2654e-20      89.2865      46.3303     -632.34181   2.463e-17   4.163e-16   2.463e-17      1.00       21.68     0.180985
   11   1.1595e-22   2.5907e-21      93.0524      48.3213     -726.89445   7.332e-18   1.098e-16   7.332e-18      1.00       22.98     0.258152
   12   1.9799e-21   3.3620e-20      95.2330      49.0453     -824.80568   3.277e-16   6.089e-15   3.277e-16      1.00       27.52     0.643616
   13   1.2515e-23   1.0471e-22      100.323      51.3524     -917.31609   1.844e-19   2.591e-18   1.844e-19      1.00       20.49     0.398902
   14   6.4447e-24   1.0917e-22      104.323      53.6251     -1020.6620   1.924e-19   1.349e-18   1.924e-19      1.00       21.99     0.870333
   15   1.2243e-24   1.8245e-23      108.908      55.7863     -1124.6300   2.816e-20   3.898e-19   2.816e-20      1.00       19.58    -0.619465
   16   5.6051e-26   5.7569e-25      111.193      56.7739     -1232.0478   1.371e-21   1.748e-20   1.371e-21      1.00       21.52    0.0538749
   17   5.3713e-26   4.7832e-25      110.707      56.5251     -1346.0056   1.090e-21   9.621e-21   1.090e-21      1.00       21.77     0.247145
   18   1.0205e-23   8.0398e-23      106.646      54.3577     -1460.1912   5.234e-19   4.077e-18   5.234e-19     -1.00       25.48     0.202552
