# rtp2_ellcurve; author codex:gpt-6-astra; FLINT 3.0.1; certified forms/eigenpairs; PARI comparisons approximate
# curve=11a1 C=11 rank=0 root_number=1; gamma (Q,d,mu)=(1/(2pi),1,1); no poles
# CONTROL_SPECTRUM object=11a1 x=13 N=60 prec=384; gamma includes conductor shift; no atoms
SPECTRUM object=11a1 block=E index=1 eigenvalue=[-1.38950590181 +/- 7.02e-12] lower_count=0 upper_count=1 certified=1
SPECTRUM object=11a1 block=E index=2 eigenvalue=[0.99791053427 +/- 6.58e-12] lower_count=1 upper_count=2 certified=1
SPECTRUM object=11a1 block=E index=3 eigenvalue=[2.14653170317 +/- 8.63e-12] lower_count=2 upper_count=3 certified=1
SPECTRUM object=11a1 block=E index=4 eigenvalue=[2.87639952405 +/- 5.11e-12] lower_count=3 upper_count=4 certified=1
SPECTRUM object=11a1 block=E index=5 eigenvalue=[3.41096217343 +/- 7.05e-12] lower_count=4 upper_count=5 certified=1
SPECTRUM object=11a1 block=E index=6 eigenvalue=[3.83269833873 +/- 7.81e-12] lower_count=5 upper_count=6 certified=1
SPECTRUM object=11a1 block=E index=7 eigenvalue=[4.18095387241 +/- 8.22e-12] lower_count=6 upper_count=7 certified=1
SPECTRUM object=11a1 block=E index=8 eigenvalue=[4.47754610927 +/- 6.04e-12] lower_count=7 upper_count=8 certified=1
SPECTRUM object=11a1 block=E index=9 eigenvalue=[4.73582975432 +/- 4.10e-12] lower_count=8 upper_count=9 certified=1
SPECTRUM object=11a1 block=E index=10 eigenvalue=[4.96457294921 +/- 8.10e-12] lower_count=9 upper_count=10 certified=1
SPECTRUM object=11a1 block=E index=11 eigenvalue=[5.16984209519 +/- 6.26e-12] lower_count=10 upper_count=11 certified=1
SPECTRUM object=11a1 block=E index=12 eigenvalue=[5.35600860794 +/- 5.46e-12] lower_count=11 upper_count=12 certified=1
SPECTRUM object=11a1 block=E index=13 eigenvalue=[5.52632665703 +/- 5.04e-12] lower_count=12 upper_count=13 certified=1
SPECTRUM object=11a1 block=E index=14 eigenvalue=[5.68328405684 +/- 4.36e-12] lower_count=13 upper_count=14 certified=1
SPECTRUM object=11a1 block=E index=15 eigenvalue=[5.82882541946 +/- 7.41e-12] lower_count=14 upper_count=15 certified=1
SPECTRUM object=11a1 block=E index=16 eigenvalue=[5.96449958837 +/- 7.93e-12] lower_count=15 upper_count=16 certified=1
SPECTRUM object=11a1 block=E index=17 eigenvalue=[6.09156022696 +/- 8.44e-12] lower_count=16 upper_count=17 certified=1
SPECTRUM object=11a1 block=E index=18 eigenvalue=[6.21103635715 +/- 8.10e-12] lower_count=17 upper_count=18 certified=1
SPECTRUM object=11a1 block=E index=19 eigenvalue=[6.32378301413 +/- 6.78e-12] lower_count=18 upper_count=19 certified=1
SPECTRUM object=11a1 block=E index=20 eigenvalue=[6.43051838481 +/- 4.17e-12] lower_count=19 upper_count=20 certified=1
SPECTRUM object=11a1 block=E index=21 eigenvalue=[6.53185153871 +/- 5.21e-12] lower_count=20 upper_count=21 certified=1
SPECTRUM object=11a1 block=E index=22 eigenvalue=[6.62830347351 +/- 5.22e-12] lower_count=21 upper_count=22 certified=1
SPECTRUM object=11a1 block=E index=23 eigenvalue=[6.72032332036 +/- 6.69e-12] lower_count=22 upper_count=23 certified=1
SPECTRUM object=11a1 block=E index=24 eigenvalue=[6.80830098625 +/- 4.24e-12] lower_count=23 upper_count=24 certified=1
SPECTRUM object=11a1 block=E index=25 eigenvalue=[6.89257713406 +/- 6.62e-12] lower_count=24 upper_count=25 certified=1
SPECTRUM object=11a1 block=E index=26 eigenvalue=[6.97345114595 +/- 8.53e-12] lower_count=25 upper_count=26 certified=1
SPECTRUM object=11a1 block=E index=27 eigenvalue=[7.05118754024 +/- 6.31e-12] lower_count=26 upper_count=27 certified=1
SPECTRUM object=11a1 block=E index=28 eigenvalue=[7.12602118898 +/- 7.35e-12] lower_count=27 upper_count=28 certified=1
SPECTRUM object=11a1 block=E index=29 eigenvalue=[7.19816159553 +/- 8.29e-12] lower_count=28 upper_count=29 certified=1
SPECTRUM object=11a1 block=E index=30 eigenvalue=[7.26779642849 +/- 3.96e-12] lower_count=29 upper_count=30 certified=1
SPECTRUM object=11a1 block=E index=31 eigenvalue=[7.33509446230 +/- 6.12e-12] lower_count=30 upper_count=31 certified=1
SPECTRUM object=11a1 block=E index=32 eigenvalue=[7.40020804015 +/- 4.05e-12] lower_count=31 upper_count=32 certified=1
SPECTRUM object=11a1 block=E index=33 eigenvalue=[7.46327514992 +/- 5.77e-12] lower_count=32 upper_count=33 certified=1
SPECTRUM object=11a1 block=E index=34 eigenvalue=[7.52442118405 +/- 5.57e-12] lower_count=33 upper_count=34 certified=1
SPECTRUM object=11a1 block=E index=35 eigenvalue=[7.58376043995 +/- 3.72e-12] lower_count=34 upper_count=35 certified=1
SPECTRUM object=11a1 block=E index=36 eigenvalue=[7.64139740588 +/- 8.11e-12] lower_count=35 upper_count=36 certified=1
SPECTRUM object=11a1 block=E index=37 eigenvalue=[7.69742786886 +/- 5.86e-12] lower_count=36 upper_count=37 certified=1
SPECTRUM object=11a1 block=E index=38 eigenvalue=[7.75193987396 +/- 7.21e-12] lower_count=37 upper_count=38 certified=1
